Fixed parameter,ERRF change (%) [95% interval],TUWR change (pp) [95% interval]
Minimum count = 10,"+0.0197 [+0.0157, +0.0237]","-0.0238 [-0.0432, -0.0073]"
Minimum count = 20,"+0.0187 [+0.0151, +0.0225]","-0.0155 [-0.0370, +0.0006]"
Minimum count = 30,"+0.0141 [+0.0109, +0.0173]","-0.0108 [-0.0318, +0.0050]"
Minimum count = 50,"-0.0013 [-0.0032, -0.0001]","-0.0001 [-0.0028, +0.0024]"
Shrinkage = 0,"+0.0334 [+0.0287, +0.0372]","-0.0319 [-0.0482, -0.0156]"
Shrinkage = 10,"+0.0181 [+0.0152, +0.0210]","-0.0186 [-0.0307, -0.0073]"
Shrinkage = 30,"-0.0081 [-0.0118, -0.0048]","-0.0001 [-0.0096, +0.0096]"
Shrinkage = 60,"-0.0341 [-0.0405, -0.0281]","+0.0085 [-0.0075, +0.0230]"
Shrinkage = 100,"-0.0647 [-0.0749, -0.0545]","+0.0122 [-0.0110, +0.0314]"
