price_id,method,metric,change,ci95_low,ci95_high,n_zones,bootstrap_draws,bootstrap_seed
ALL,NMIN_10,mean_errf,0.019662320732383165,0.015677290973133418,0.023749837878572766,10,10000,20260925
ALL,NMIN_20,mean_errf,0.018745478651882586,0.015051438088959923,0.022549831301502676,10,10000,20260925
ALL,NMIN_30,mean_errf,0.01408166028424862,0.01086748141745808,0.017276287233301546,10,10000,20260925
ALL,NMIN_50,mean_errf,-0.0013464722269374008,-0.003233758621748739,-9.897668133307459e-05,10,10000,20260925
ALL,NU_0,mean_errf,0.03335919785496522,0.028748770025082138,0.03719215461188974,10,10000,20260925
ALL,NU_10,mean_errf,0.01807775513085197,0.015196750590300012,0.02101201533564523,10,10000,20260925
ALL,NU_100,mean_errf,-0.06469909180123468,-0.0749267531325093,-0.05452016956715017,10,10000,20260925
ALL,NU_30,mean_errf,-0.008134951665728085,-0.011757372828682111,-0.004762291450432777,10,10000,20260925
ALL,NU_60,mean_errf,-0.03413187585055155,-0.040459618805450126,-0.028056706340283122,10,10000,20260925
ALL,TOL_0.5,mean_errf,0.84452628342091,0.693576785062967,0.9947454870137805,10,10000,20260925
ALL,TOL_1,mean_errf,0.0,0.0,0.0,10,10000,20260925
ALL,TOL_2,mean_errf,-0.4622551466043401,-0.5264068979307668,-0.39812744225025265,10,10000,20260925
ALL,NMIN_10,tuwr,-0.023772657559094634,-0.04321849378846966,-0.007275667880962559,10,10000,20260925
ALL,NMIN_20,tuwr,-0.01545651613944335,-0.037010338025151135,0.0006446756687834599,10,10000,20260925
ALL,NMIN_30,tuwr,-0.010829529532257187,-0.03184061712013513,0.004990017137423894,10,10000,20260925
ALL,NMIN_50,tuwr,-0.0001154247727766511,-0.0028109255453210476,0.002420754287528137,10,10000,20260925
ALL,NU_0,tuwr,-0.0318905990570853,-0.048214780757768756,-0.015580165443450936,10,10000,20260925
ALL,NU_10,tuwr,-0.018603143784284154,-0.030740113005781198,-0.007303977399734998,10,10000,20260925
ALL,NU_100,tuwr,0.012223959543568726,-0.010986325995734209,0.031360609683532784,10,10000,20260925
ALL,NU_30,tuwr,-0.00011421289627291942,-0.009643627380578154,0.009601015127051832,10,10000,20260925
ALL,NU_60,tuwr,0.008495405037551446,-0.007515540355350345,0.022969647045007053,10,10000,20260925
ALL,TOL_0.5,tuwr,-4.7802108994991315,-5.317727805662202,-4.244148234684238,10,10000,20260925
ALL,TOL_1,tuwr,0.0,0.0,0.0,10,10000,20260925
ALL,TOL_2,tuwr,3.2827646530231194,2.7631547542634647,3.7671145802903383,10,10000,20260925
R01,NMIN_10,mean_errf,0.03954221196800223,0.03006923792382543,0.050389005829877265,10,10000,20260925
R01,NMIN_20,mean_errf,0.03784981615291283,0.028707387273305685,0.04785329691794514,10,10000,20260925
R01,NMIN_30,mean_errf,0.026515152935724373,0.018937678839543448,0.035283727865622616,10,10000,20260925
R01,NMIN_50,mean_errf,-0.0031663212385013573,-0.007333136390889339,0.00024659567394003036,10,10000,20260925
R01,NU_0,mean_errf,0.014603223180498226,0.002346294614979372,0.026653993373246247,10,10000,20260925
R01,NU_10,mean_errf,0.013224038622028367,0.005969871881507106,0.021530994940130443,10,10000,20260925
R01,NU_100,mean_errf,0.006458065391412582,-0.013279892530766724,0.025594120223613154,10,10000,20260925
R01,NU_30,mean_errf,0.01291814219803733,0.006420471407325712,0.02007581120759105,10,10000,20260925
R01,NU_60,mean_errf,0.011654700766650095,-0.0021198879892583844,0.024168637065227202,10,10000,20260925
R01,TOL_0.5,mean_errf,3.9074100805235767,3.3805331755920944,4.432987803571502,10,10000,20260925
R01,TOL_1,mean_errf,0.0,0.0,0.0,10,10000,20260925
R01,TOL_2,mean_errf,-1.985774518749428,-2.231332413149935,-1.7332347620742503,10,10000,20260925
R01,NMIN_10,tuwr,-0.06116804293224504,-0.08492131932656406,-0.03828594387324162,10,10000,20260925
R01,NMIN_20,tuwr,-0.04719589425828785,-0.07063511942479843,-0.024098089540226242,10,10000,20260925
R01,NMIN_30,tuwr,-0.018437285036161377,-0.03985621469792621,0.002727801463930579,10,10000,20260925
R01,NMIN_50,tuwr,0.0037506308764967415,-0.0072137469903083085,0.014534733896975172,10,10000,20260925
R01,NU_0,tuwr,-0.04547443741161783,-0.0791054329028483,-0.010206529212683446,10,10000,20260925
R01,NU_10,tuwr,-0.035144456599891516,-0.06222772295012328,-0.008361757001952047,10,10000,20260925
R01,NU_100,tuwr,0.018004569896724054,-0.01673276535048588,0.05010546633268931,10,10000,20260925
R01,NU_30,tuwr,-0.013639734442325024,-0.029123118173137973,-0.000524619572048819,10,10000,20260925
R01,NU_60,tuwr,0.010974894528251178,-0.015204896485267847,0.03703167925864696,10,10000,20260925
R01,TOL_0.5,tuwr,-9.71691403271759,-10.839367896359494,-8.47371346189805,10,10000,20260925
R01,TOL_1,tuwr,0.0,0.0,0.0,10,10000,20260925
R01,TOL_2,tuwr,5.766503151779355,4.702999406031308,6.7372023340838405,10,10000,20260925
R02,NMIN_10,mean_errf,0.024462338170083697,0.016025379948958474,0.033027595968011525,10,10000,20260925
R02,NMIN_20,mean_errf,0.02327966937900605,0.015028573384650579,0.0314217811908829,10,10000,20260925
R02,NMIN_30,mean_errf,0.01812189071177528,0.009460896106666117,0.02676786300033207,10,10000,20260925
R02,NMIN_50,mean_errf,-0.00038623420571815004,-0.001747382710103329,0.0006943056316949247,10,10000,20260925
R02,NU_0,mean_errf,0.01920988959929204,0.01028899627151969,0.029241232092735988,10,10000,20260925
R02,NU_10,mean_errf,0.012445155687723641,0.003676737266607444,0.022922457592528533,10,10000,20260925
R02,NU_100,mean_errf,-0.008364129766713635,-0.020141832567111273,0.0007639606045584091,10,10000,20260925
R02,NU_30,mean_errf,0.0015602360326605336,-0.002178638966602031,0.0052600821353654395,10,10000,20260925
R02,NU_60,mean_errf,-0.00505917371961262,-0.01380957852212733,0.0015988189656201968,10,10000,20260925
R02,TOL_0.5,mean_errf,2.493616347079719,2.1411860582535662,2.847981015468812,10,10000,20260925
R02,TOL_1,mean_errf,0.0,0.0,0.0,10,10000,20260925
R02,TOL_2,mean_errf,-1.338196815932946,-1.513333068206314,-1.1616142353698973,10,10000,20260925
R02,NMIN_10,tuwr,-0.04581552341218986,-0.08442659361678126,-0.007133379334274057,10,10000,20260925
R02,NMIN_20,tuwr,-0.031484856932307986,-0.06992341345500482,0.004616508688887622,10,10000,20260925
R02,NMIN_30,tuwr,-0.015025053976197023,-0.04840449512259671,0.01555396835578742,10,10000,20260925
R02,NMIN_50,tuwr,-0.001867697363323595,-0.005850541274769611,0.0015915206290835402,10,10000,20260925
R02,NU_0,tuwr,-0.06814765630125022,-0.10332196577296006,-0.03383783538953164,10,10000,20260925
R02,NU_10,tuwr,-0.03556545194524863,-0.05999054347364653,-0.013302214967320225,10,10000,20260925
R02,NU_100,tuwr,0.05176514945860661,0.022116122126805332,0.07789225108803892,10,10000,20260925
R02,NU_30,tuwr,0.014721437827403677,-0.0015441243277236716,0.031607077412393325,10,10000,20260925
R02,NU_60,tuwr,0.03631911715653538,0.014622546520484265,0.05934143046723209,10,10000,20260925
R02,TOL_0.5,tuwr,-8.412644071722381,-9.257185447385035,-7.515160780183383,10,10000,20260925
R02,TOL_1,tuwr,0.0,0.0,0.0,10,10000,20260925
R02,TOL_2,tuwr,5.956885694136995,4.923269920481084,6.91673192553822,10,10000,20260925
R10,NMIN_10,mean_errf,0.011909658841902093,0.007494788653141238,0.01684332159097246,10,10000,20260925
R10,NMIN_20,mean_errf,0.011597032386312378,0.007513805392722617,0.01619176267330713,10,10000,20260925
R10,NMIN_30,mean_errf,0.00823881655234171,0.004141472667471002,0.012526144904074776,10,10000,20260925
R10,NMIN_50,mean_errf,-0.0012277593456455627,-0.0030818033574725456,9.820704004015463e-05,10,10000,20260925
R10,NU_0,mean_errf,0.03268621170302577,0.024701162825915834,0.040088251195111724,10,10000,20260925
R10,NU_10,mean_errf,0.017100600388331166,0.012956899414819922,0.021103696868609023,10,10000,20260925
R10,NU_100,mean_errf,-0.06511643585820348,-0.07748323230470033,-0.05359664148855581,10,10000,20260925
R10,NU_30,mean_errf,-0.015399709260666139,-0.01953954248818862,-0.011196706790610467,10,10000,20260925
R10,NU_60,mean_errf,-0.03701018464397077,-0.04385565291126936,-0.030305292041874213,10,10000,20260925
R10,TOL_0.5,mean_errf,0.11944257575076112,0.037709515777384905,0.2040827891699043,10,10000,20260925
R10,TOL_1,mean_errf,0.0,0.0,0.0,10,10000,20260925
R10,TOL_2,mean_errf,-0.08480502166173798,-0.11702322274718541,-0.0557551732770667,10,10000,20260925
R10,NMIN_10,tuwr,-0.01067617974127126,-0.03535865875262903,0.009834267743650947,10,10000,20260925
R10,NMIN_20,tuwr,-0.004774789458803844,-0.02899889322047529,0.012264422789733295,10,10000,20260925
R10,NMIN_30,tuwr,-0.01171671402291366,-0.03444041930117997,0.004190700194496037,10,10000,20260925
R10,NMIN_50,tuwr,0.0009029818966074799,-0.0029650620366610363,0.005541235993040046,10,10000,20260925
R10,NU_0,tuwr,-0.01818274689282473,-0.028566725131569392,-0.006608860562146886,10,10000,20260925
R10,NU_10,tuwr,-0.008072170115828448,-0.025533691305701205,0.011843528802059175,10,10000,20260925
R10,NU_100,tuwr,-0.012224963621083537,-0.06527033663330704,0.03514784156348493,10,10000,20260925
R10,NU_30,tuwr,-0.013225665505714607,-0.02816132013204179,0.0030783591002386114,10,10000,20260925
R10,NU_60,tuwr,-0.00612480104253181,-0.03934727919744038,0.024171326786643736,10,10000,20260925
R10,TOL_0.5,tuwr,-1.8629260642494525,-2.218953051021346,-1.546890580494704,10,10000,20260925
R10,TOL_1,tuwr,0.0,0.0,0.0,10,10000,20260925
R10,TOL_2,tuwr,1.480568485877811,1.2191781099099128,1.7548185059833727,10,10000,20260925
R20,NMIN_10,mean_errf,0.022505101824021878,0.015658258445131468,0.030970664743801835,10,10000,20260925
R20,NMIN_20,mean_errf,0.021008718058235232,0.01464245414897647,0.028386619095994155,10,10000,20260925
R20,NMIN_30,mean_errf,0.016151012907128504,0.011026965220738427,0.02250815909907,10,10000,20260925
R20,NMIN_50,mean_errf,-0.0014160865246304333,-0.004218268195779751,0.0002382904494191426,10,10000,20260925
R20,NU_0,mean_errf,0.0511360238488523,0.043865501586716205,0.05758118226199093,10,10000,20260925
R20,NU_10,mean_errf,0.024437205724159305,0.017535071305163075,0.03151424867390895,10,10000,20260925
R20,NU_100,mean_errf,-0.1228528031929077,-0.1477937778502858,-0.1010728871686653,10,10000,20260925
R20,NU_30,mean_errf,-0.01831388840740633,-0.029134124832132235,-0.010439156567403629,10,10000,20260925
R20,NU_60,mean_errf,-0.06693820944742024,-0.08220420745133877,-0.053668881379444484,10,10000,20260925
R20,TOL_0.5,mean_errf,-0.21624695183724008,-0.25359512471451295,-0.18337019281819772,10,10000,20260925
R20,TOL_1,mean_errf,0.0,0.0,0.0,10,10000,20260925
R20,TOL_2,mean_errf,0.04556210701651686,0.02526002131381211,0.06367440569487515,10,10000,20260925
R20,NMIN_10,tuwr,-0.0026224589448636468,-0.014846494301387122,0.010357983311358008,10,10000,20260925
R20,NMIN_20,tuwr,0.0019290996823516369,-0.013348875680909159,0.017380397887832764,10,10000,20260925
R20,NMIN_30,tuwr,-0.004486306610832803,-0.01679189578579449,0.006327953020785917,10,10000,20260925
R20,NMIN_50,tuwr,-0.0014225172572469164,-0.00413252853725574,0.0012950975378736597,10,10000,20260925
R20,NU_0,tuwr,0.014495972982717374,0.002986561442202938,0.026180414157914673,10,10000,20260925
R20,NU_10,tuwr,0.007538350596048363,-0.0036125613125252863,0.018888644355156622,10,10000,20260925
R20,NU_100,tuwr,-0.01966423024616252,-0.04663935827309388,0.010425445305969082,10,10000,20260925
R20,NU_30,tuwr,0.013304762109802235,-0.007633131360111508,0.032928083751982924,10,10000,20260925
R20,NU_60,tuwr,-0.00375161981164926,-0.02196022506215734,0.013714031909800962,10,10000,20260925
R20,TOL_0.5,tuwr,-0.7255332058818269,-0.8597859725121813,-0.5721391388221079,10,10000,20260925
R20,TOL_1,tuwr,0.0,0.0,0.0,10,10000,20260925
R20,TOL_2,tuwr,0.7891336315511641,0.7001414042246136,0.8855018635323672,10,10000,20260925
Rref,NMIN_10,mean_errf,0.007878419033247042,0.0030022449465438865,0.012807264175005436,10,10000,20260925
Rref,NMIN_20,mean_errf,0.00798342844592348,0.003205501201630767,0.012875054264608329,10,10000,20260925
Rref,NMIN_30,mean_errf,0.006672010159447517,0.0016284255337656317,0.011581979345420823,10,10000,20260925
Rref,NMIN_50,mean_errf,-0.0008971008832348026,-0.0017143471507891084,-0.00010918435474960337,10,10000,20260925
Rref,NU_0,mean_errf,0.02283833971243876,0.018199812575630525,0.028533495455454472,10,10000,20260925
Rref,NU_10,mean_errf,0.014480769697766682,0.01039803349177415,0.01916113671996955,10,10000,20260925
Rref,NU_100,mean_errf,-0.040589944281510526,-0.049349922906264665,-0.03286225136419796,10,10000,20260925
Rref,NU_30,mean_errf,-0.00011033819794503685,-0.004743361226278997,0.004773806142900904,10,10000,20260925
Rref,NU_60,mean_errf,-0.018795934173354567,-0.0230739161229504,-0.014855363500731189,10,10000,20260925
Rref,TOL_0.5,mean_errf,0.6127129027059475,0.44688780060424205,0.7840663820667658,10,10000,20260925
Rref,TOL_1,mean_errf,0.0,0.0,0.0,10,10000,20260925
Rref,TOL_2,mean_errf,-0.2900103760313799,-0.3382647039700065,-0.24389954512819972,10,10000,20260925
Rref,NMIN_10,tuwr,0.0014189172350959067,-0.02435088456011171,0.025777336268466684,10,10000,20260925
Rref,NMIN_20,tuwr,0.004243860269830882,-0.02299527034906999,0.025931710266275783,10,10000,20260925
Rref,NMIN_30,tuwr,-0.00448228801518423,-0.03177132866409178,0.0163418450582398,10,10000,20260925
Rref,NMIN_50,tuwr,-0.0019405220164166184,-0.005353793078087296,0.0018343772161218215,10,10000,20260925
Rref,NU_0,tuwr,-0.042144127662451236,-0.06508765147327991,-0.021292131199510744,10,10000,20260925
Rref,NU_10,tuwr,-0.021771990856500542,-0.036667328989032424,-0.007170785306368281,10,10000,20260925
