farm_id,seed,price_id,n_min,nu,beta,state_count
FarmA,0,rho_1,10,0.0,1.0,932
FarmA,0,rho_1,10,10.0,1.0,190
FarmA,0,rho_1,10,30.0,1.0,110
FarmA,0,rho_1,10,60.0,1.0,66
FarmA,0,rho_1,10,100.0,1.0,34
FarmA,0,rho_1,20,0.0,1.0,14
FarmA,0,rho_1,20,30.0,1.0,1
FarmA,0,rho_1,20,100.0,1.0,1
FarmA,0,rho_1,30,0.0,1.0,12
FarmA,0,rho_1,30,10.0,1.0,1
FarmA,0,rho_1,30,30.0,1.0,1
FarmA,0,rho_1,30,100.0,1.0,1
FarmA,0,rho_1,50,0.0,1.0,2545
FarmA,0,rho_1,50,10.0,1.0,858
FarmA,0,rho_1,50,30.0,1.0,978
FarmA,0,rho_1,50,60.0,1.0,496
FarmA,0,rho_1,50,100.0,1.0,360
FarmA,0,rho_10,10,0.0,1.0,350
FarmA,0,rho_10,10,10.0,1.0,120
FarmA,0,rho_10,10,30.0,1.0,80
FarmA,0,rho_10,10,60.0,1.0,46
FarmA,0,rho_10,10,100.0,1.0,16
FarmA,0,rho_10,20,0.0,1.0,8
FarmA,0,rho_10,20,30.0,1.0,1
FarmA,0,rho_10,30,0.0,1.0,8
FarmA,0,rho_10,30,30.0,1.0,1
FarmA,0,rho_10,50,0.0,1.0,2291
FarmA,0,rho_10,50,10.0,1.0,1191
FarmA,0,rho_10,50,30.0,1.0,1146
FarmA,0,rho_10,50,60.0,1.0,725
FarmA,0,rho_10,50,100.0,1.0,617
FarmA,0,rho_2,10,0.0,1.0,647
FarmA,0,rho_2,10,10.0,1.0,99
FarmA,0,rho_2,10,30.0,1.0,73
FarmA,0,rho_2,10,60.0,1.0,39
FarmA,0,rho_2,10,100.0,1.0,19
FarmA,0,rho_2,20,0.0,1.0,14
FarmA,0,rho_2,20,30.0,1.0,1
FarmA,0,rho_2,30,0.0,1.0,4
FarmA,0,rho_2,30,60.0,1.0,1
FarmA,0,rho_2,30,100.0,1.0,1
FarmA,0,rho_2,50,0.0,1.0,2715
FarmA,0,rho_2,50,10.0,1.0,1043
FarmA,0,rho_2,50,30.0,1.0,824
FarmA,0,rho_2,50,60.0,1.0,612
FarmA,0,rho_2,50,100.0,1.0,508
FarmA,0,rho_20,10,0.0,1.0,320
FarmA,0,rho_20,10,10.0,1.0,91
FarmA,0,rho_20,10,30.0,1.0,79
FarmA,0,rho_20,10,60.0,1.0,39
FarmA,0,rho_20,10,100.0,1.0,22
FarmA,0,rho_20,20,0.0,1.0,7
FarmA,0,rho_20,20,10.0,1.0,1
FarmA,0,rho_20,20,30.0,1.0,1
FarmA,0,rho_20,30,0.0,1.0,1
FarmA,0,rho_20,50,0.0,1.0,2384
FarmA,0,rho_20,50,10.0,1.0,1068
FarmA,0,rho_20,50,30.0,1.0,1294
FarmA,0,rho_20,50,60.0,1.0,652
FarmA,0,rho_20,50,100.0,1.0,641
FarmA,0,rho_reference,10,0.0,1.0,472
FarmA,0,rho_reference,10,10.0,1.0,134
FarmA,0,rho_reference,10,30.0,1.0,75
FarmA,0,rho_reference,10,60.0,1.0,32
FarmA,0,rho_reference,10,100.0,1.0,32
FarmA,0,rho_reference,20,0.0,1.0,11
FarmA,0,rho_reference,20,10.0,1.0,2
FarmA,0,rho_reference,20,100.0,1.0,1
FarmA,0,rho_reference,30,0.0,1.0,2
FarmA,0,rho_reference,30,30.0,1.0,1
FarmA,0,rho_reference,50,0.0,1.0,1534
FarmA,0,rho_reference,50,10.0,1.0,1701
FarmA,0,rho_reference,50,30.0,1.0,1033
FarmA,0,rho_reference,50,60.0,1.0,971
FarmA,0,rho_reference,50,100.0,1.0,599
FarmA,1,rho_1,10,0.0,1.0,903
FarmA,1,rho_1,10,10.0,1.0,165
FarmA,1,rho_1,10,30.0,1.0,167
FarmA,1,rho_1,10,60.0,1.0,59
FarmA,1,rho_1,10,100.0,1.0,34
FarmA,1,rho_1,20,0.0,1.0,24
FarmA,1,rho_1,20,30.0,1.0,1
FarmA,1,rho_1,20,60.0,1.0,1
FarmA,1,rho_1,20,100.0,1.0,3
FarmA,1,rho_1,30,0.0,1.0,14
FarmA,1,rho_1,30,10.0,1.0,1
FarmA,1,rho_1,30,30.0,1.0,1
FarmA,1,rho_1,30,100.0,1.0,1
FarmA,1,rho_1,50,0.0,1.0,2482
FarmA,1,rho_1,50,10.0,1.0,951
FarmA,1,rho_1,50,30.0,1.0,974
FarmA,1,rho_1,50,60.0,1.0,477
FarmA,1,rho_1,50,100.0,1.0,342
FarmA,1,rho_10,10,0.0,1.0,329
FarmA,1,rho_10,10,10.0,1.0,97
FarmA,1,rho_10,10,30.0,1.0,88
FarmA,1,rho_10,10,60.0,1.0,42
FarmA,1,rho_10,10,100.0,1.0,16
FarmA,1,rho_10,20,0.0,1.0,1
FarmA,1,rho_10,20,10.0,1.0,3
FarmA,1,rho_10,20,100.0,1.0,1
FarmA,1,rho_10,30,10.0,1.0,3
FarmA,1,rho_10,50,0.0,1.0,2291
FarmA,1,rho_10,50,10.0,1.0,1278
FarmA,1,rho_10,50,30.0,1.0,1187
FarmA,1,rho_10,50,60.0,1.0,596
FarmA,1,rho_10,50,100.0,1.0,668
FarmA,1,rho_2,10,0.0,1.0,781
FarmA,1,rho_2,10,10.0,1.0,111
FarmA,1,rho_2,10,30.0,1.0,126
FarmA,1,rho_2,10,60.0,1.0,45
FarmA,1,rho_2,10,100.0,1.0,21
FarmA,1,rho_2,20,0.0,1.0,10
FarmA,1,rho_2,20,30.0,1.0,1
FarmA,1,rho_2,20,60.0,1.0,1
FarmA,1,rho_2,20,100.0,1.0,1
FarmA,1,rho_2,30,0.0,1.0,1
