held_out_zone,seed,price_id,n_min,nu,beta,state_count
zone1,0,R01,10,0,1.0,582
zone1,0,R01,10,10,1.0,490
zone1,0,R01,10,30,1.0,556
zone1,0,R01,10,60,1.0,359
zone1,0,R01,10,100,1.0,189
zone1,0,R01,20,0,1.0,6
zone1,0,R01,20,10,1.0,2
zone1,0,R01,20,30,1.0,1
zone1,0,R01,20,100,1.0,1
zone1,0,R01,30,0,1.0,12
zone1,0,R01,30,30,1.0,3
zone1,0,R01,30,60,1.0,1
zone1,0,R01,50,0,1.0,964
zone1,0,R01,50,10,1.0,990
zone1,0,R01,50,30,1.0,1063
zone1,0,R01,50,60,1.0,854
zone1,0,R01,50,100,1.0,527
zone1,0,R02,10,0,1.0,309
zone1,0,R02,10,10,1.0,313
zone1,0,R02,10,30,1.0,263
zone1,0,R02,10,60,1.0,174
zone1,0,R02,10,100,1.0,83
zone1,0,R02,20,0,1.0,5
zone1,0,R02,20,30,1.0,1
zone1,0,R02,20,100,1.0,1
zone1,0,R02,30,0,1.0,5
zone1,0,R02,30,10,1.0,1
zone1,0,R02,30,30,1.0,1
zone1,0,R02,50,0,1.0,1252
zone1,0,R02,50,10,1.0,1229
zone1,0,R02,50,30,1.0,1309
zone1,0,R02,50,60,1.0,953
zone1,0,R02,50,100,1.0,701
zone1,0,R05P6179775281,10,0,1.0,123
zone1,0,R05P6179775281,10,10,1.0,83
zone1,0,R05P6179775281,10,30,1.0,65
zone1,0,R05P6179775281,10,60,1.0,37
zone1,0,R05P6179775281,10,100,1.0,17
zone1,0,R05P6179775281,20,0,1.0,3
zone1,0,R05P6179775281,20,10,1.0,1
zone1,0,R05P6179775281,20,30,1.0,1
zone1,0,R05P6179775281,20,60,1.0,1
zone1,0,R05P6179775281,30,0,1.0,3
zone1,0,R05P6179775281,50,0,1.0,1342
zone1,0,R05P6179775281,50,10,1.0,1603
zone1,0,R05P6179775281,50,30,1.0,1544
zone1,0,R05P6179775281,50,60,1.0,974
zone1,0,R05P6179775281,50,100,1.0,803
zone1,0,R10,10,0,1.0,124
zone1,0,R10,10,10,1.0,86
zone1,0,R10,10,30,1.0,72
zone1,0,R10,10,60,1.0,25
zone1,0,R10,10,100,1.0,14
zone1,0,R10,20,0,1.0,2
zone1,0,R10,20,30,1.0,1
zone1,0,R10,30,0,1.0,2
zone1,0,R10,50,0,1.0,1295
zone1,0,R10,50,10,1.0,1635
zone1,0,R10,50,30,1.0,1557
zone1,0,R10,50,60,1.0,1023
zone1,0,R10,50,100,1.0,764
zone1,0,R20,10,0,1.0,143
zone1,0,R20,10,10,1.0,110
zone1,0,R20,10,30,1.0,87
zone1,0,R20,10,60,1.0,36
zone1,0,R20,10,100,1.0,27
zone1,0,R20,20,0,1.0,5
zone1,0,R20,30,0,1.0,4
zone1,0,R20,30,30,1.0,1
zone1,0,R20,50,0,1.0,1276
zone1,0,R20,50,10,1.0,1641
zone1,0,R20,50,30,1.0,1524
zone1,0,R20,50,60,1.0,1026
zone1,0,R20,50,100,1.0,720
zone1,1,R01,10,0,1.0,580
zone1,1,R01,10,10,1.0,490
zone1,1,R01,10,30,1.0,511
zone1,1,R01,10,60,1.0,347
zone1,1,R01,10,100,1.0,171
zone1,1,R01,20,0,1.0,11
zone1,1,R01,20,10,1.0,1
zone1,1,R01,20,30,1.0,1
zone1,1,R01,20,60,1.0,1
zone1,1,R01,20,100,1.0,1
zone1,1,R01,30,0,1.0,12
zone1,1,R01,30,10,1.0,1
