price_id,target_coverage,lowest_cost_candidate,mean_errf
R01,0.1,Static,0.7394196514131278
R01,0.2,Static,0.8435324551369715
R01,0.3,Static,0.9577211188358226
R01,0.4,Static,1.0845816686546772
R01,0.5,Static,1.2307623190611658
R01,0.6,Static,1.3990444278623395
R01,0.7,Static,1.6014062745171065
R01,0.8,Static,1.856535320253072
R01,0.9,Static,2.222615717095662
R01,0.95,Static,2.5263218964099314
R01,0.99,Static,3.0393849950443688
R02,0.1,Static,1.2926729879683299
R02,0.2,Static,1.3169569998598936
R02,0.3,Static,1.3576807744749986
R02,0.4,Static,1.4166127607509194
R02,0.5,Static,1.4980135660148395
R02,0.6,Static,1.6060789527416404
R02,0.7,Static,1.7517436046856352
R02,0.8,Static,1.9535264087950353
R02,0.9,Static,2.2700061730746164
R02,0.95,Static,2.549924909997439
R02,0.99,Static,3.0442507407208415
R05P6179775281,0.1,AgACI,2.9025316028513966
R05P6179775281,0.2,AgACI,2.6766183029464865
R05P6179775281,0.3,AgACI,2.548936335571915
R05P6179775281,0.4,TSC,2.4362653800929586
R05P6179775281,0.5,EEE,2.339168457390796
R05P6179775281,0.6,EEE,2.2850105080020846
R05P6179775281,0.7,EnbPI-RH,2.281043141931417
R05P6179775281,0.8,Static,2.3044379875648353
R05P6179775281,0.9,Static,2.441463777852405
R05P6179775281,0.95,Static,2.6353200827522407
R05P6179775281,0.99,Static,3.06185489923572
R10,0.1,AgACI,4.754758171796357
R10,0.2,AgACI,4.119036794449244
R10,0.3,AgACI,3.6988682847607146
R10,0.4,AgACI,3.387765742394657
R10,0.5,AgACI,3.148663740362729
R10,0.6,TSC,2.9297357303187805
R10,0.7,EEE,2.7414549821264025
R10,0.8,EEE,2.6306012725151224
R10,0.9,Static,2.649129820906248
R10,0.95,Static,2.738749018697498
R10,0.99,Static,3.083176706132623
R20,0.1,AgACI,8.981634188106652
R20,0.2,AgACI,7.410709762237587
R20,0.3,AgACI,6.323071963678744
R20,0.4,AgACI,5.479605419164777
R20,0.5,AgACI,4.790078580436585
R20,0.6,AgACI,4.1851470761671274
R20,0.7,AgACI,3.6905416488767555
R20,0.8,TSC,3.276447765248698
R20,0.9,EEE,2.967308146490852
R20,0.95,EEE,2.9482782025255063
R20,0.99,Static,3.131834162897349
