method,rank,excess,omitted_zone
ACI,6.191666666666666,8.270847066081753,zone1
AgACI,6.376717171717171,10.403395779401007,zone1
CART,4.651767676767677,5.446191905427471,zone1
CLARA,3.2601515151515152,2.4044106584275498,zone1
EEE,5.041363636363636,6.4791106495639905,zone1
EnbPI-RH,5.005454545454546,7.423724727588342,zone1
LinUCB,4.117070707070707,2.946044861520664,zone1
Static,4.612323232323233,7.637963798276162,zone1
TSC,5.743484848484848,7.318292239134922,zone1
ACI,6.205606060606061,8.169086689348134,zone2
AgACI,6.38439393939394,10.246277255934626,zone2
CART,4.563585858585858,5.232474242354098,zone2
CLARA,3.271818181818182,2.3436206786706077,zone2
EEE,5.0461616161616165,6.360315535566836,zone2
EnbPI-RH,5.004545454545455,7.32002466288516,zone2
LinUCB,4.145656565656566,2.915673560600194,zone2
Static,4.5919191919191915,7.489793606957897,zone2
TSC,5.786313131313132,7.257825995959633,zone2
ACI,6.204444444444444,8.285531430869996,zone3
AgACI,6.3823737373737375,10.434155923256359,zone3
CART,4.575959595959596,5.351142726543078,zone3
CLARA,3.2825252525252524,2.382904728349802,zone3
EEE,5.065505050505051,6.480865555528924,zone3
EnbPI-RH,5.002575757575758,7.403147513048704,zone3
LinUCB,4.101010101010101,2.9094535998358197,zone3
Static,4.617676767676768,7.672314266353549,zone3
TSC,5.767929292929293,7.32141504399122,zone3
ACI,6.210151515151515,8.486534580570416,zone4
AgACI,6.409343434343435,10.69295481737489,zone4
CART,4.58479797979798,5.5057028719279915,zone4
CLARA,3.2758080808080807,2.451854094034752,zone4
EEE,5.042474747474747,6.587449026925482,zone4
EnbPI-RH,5.006363636363637,7.510875323557787,zone4
LinUCB,4.102323232323232,2.9180646958736722,zone4
Static,4.608989898989899,7.755092661936829,zone4
TSC,5.759747474747475,7.4816824716396395,zone4
ACI,6.1862121212121215,8.50398177602928,zone5
AgACI,6.392171717171717,10.710521698557793,zone5
CART,4.648181818181818,5.6332864964638505,zone5
CLARA,3.258939393939394,2.476619547126658,zone5
EEE,5.054646464646464,6.643614737454404,zone5
EnbPI-RH,5.016010101010101,7.5723444831435796,zone5
LinUCB,4.095252525252525,2.9618843892262103,zone5
Static,4.611868686868687,7.8585283563457615,zone5
TSC,5.736717171717172,7.517194875390769,zone5
ACI,6.2263636363636365,8.500658311421407,zone6
AgACI,6.4241919191919195,10.737390398024013,zone6
CART,4.6301010101010105,5.547842760660579,zone6
CLARA,3.278989898989899,2.4779126904002373,zone6
EEE,5.043181818181818,6.597836482423675,zone6
EnbPI-RH,4.98,7.47348106374395,zone6
LinUCB,4.082828282828283,2.8942647556254713,zone6
Static,4.5884343434343435,7.780350128403819,zone6
TSC,5.745909090909091,7.4736844322233384,zone6
ACI,6.189191919191919,8.172070412427379,zone7
AgACI,6.346616161616161,10.181509598699025,zone7
CART,4.584141414141414,5.285954705788878,zone7
CLARA,3.2676262626262624,2.364569667765345,zone7
EEE,5.060808080808081,6.431591659249356,zone7
EnbPI-RH,5.03969696969697,7.416667260910455,zone7
LinUCB,4.120909090909091,2.9043077473936223,zone7
Static,4.618484848484848,7.6325489655587155,zone7
TSC,5.772525252525252,7.268901119985291,zone7
ACI,6.197727272727272,8.234631454565255,zone8
AgACI,6.384949494949495,10.369466019773554,zone8
CART,4.606767676767677,5.332853981639574,zone8
CLARA,3.286363636363636,2.386551832265745,zone8
EEE,5.032676767676768,6.41478739706229,zone8
EnbPI-RH,5.03469696969697,7.379551721627151,zone8
LinUCB,4.104949494949495,2.899418441682373,zone8
Static,4.6034848484848485,7.548722714771285,zone8
TSC,5.748383838383838,7.271859574353727,zone8
ACI,6.18570707070707,8.263023710209008,zone9
AgACI,6.365707070707071,10.35662535209267,zone9
CART,4.579343434343435,5.348269799650593,zone9
CLARA,3.2684848484848485,2.386761123324673,zone9
EEE,5.0475252525252525,6.4694488149526315,zone9
EnbPI-RH,5.028585858585859,7.430377715317968,zone9
LinUCB,4.120909090909091,2.9470571799232856,zone9
Static,4.644040404040404,7.66636198724344,zone9
TSC,5.75969696969697,7.325686180137515,zone9
ACI,6.213838383838384,8.536081702231149,zone10
AgACI,6.418080808080808,10.802572954491124,zone10
CART,4.634444444444444,5.5525531461800615,zone10
CLARA,3.267020202020202,2.4553428495137237,zone10
EEE,5.038383838383838,6.619277668739914,zone10
EnbPI-RH,4.97479797979798,7.494845858628613,zone10
LinUCB,4.128181818181818,3.015389262538815,zone10
Static,4.597323232323232,7.770062786612714,zone10
TSC,5.727929292929293,7.498968388268946,zone10
