zone,baseline,relative_pct
zone1,LinUCB,-2.717474023445265
zone2,LinUCB,-2.4920392571940897
zone3,LinUCB,-3.511575504343889
zone4,LinUCB,-2.713436902361066
zone5,LinUCB,-2.4826167416837963
zone6,LinUCB,-2.9145410136679595
zone7,LinUCB,-1.860172444508723
zone8,LinUCB,-1.8853922840342483
zone9,LinUCB,-1.7970376326893025
zone10,LinUCB,-2.610806407962252
zone1,CART,-3.3380891968461723
zone2,CART,-3.468128516555047
zone3,CART,-3.1136729402722607
zone4,CART,-3.406614247896167
zone5,CART,-2.7590256320304096
zone6,CART,-3.141934653056455
zone7,CART,-3.115772751295587
zone8,CART,-3.344592246363909
zone9,CART,-3.070370910636788
zone10,CART,-2.761346564292433
zone1,TSC,-5.1761168121981065
zone2,TSC,-4.89019951367915
zone3,TSC,-5.075720590370136
zone4,TSC,-4.8966900666059034
zone5,TSC,-4.7839214531637975
zone6,TSC,-5.155437586612055
zone7,TSC,-5.19618763323042
zone8,TSC,-5.334963411483673
zone9,TSC,-4.869849610070354
zone10,TSC,-4.840592878750827
zone1,EEE,-4.954420679350391
zone2,EEE,-5.072789854363757
zone3,EEE,-4.83691544344409
zone4,EEE,-5.08443123051282
zone5,EEE,-4.604827596077854
zone6,EEE,-5.06644749274755
zone7,EEE,-4.978527050109793
zone8,EEE,-5.303656018567136
zone9,EEE,-4.8523668639978155
zone10,EEE,-4.734145688385738
zone1,Static,-10.639108493540252
zone2,Static,-11.355837374980071
zone3,Static,-10.132458311458524
zone4,Static,-10.2410694242972
zone5,Static,-8.790506786964414
zone6,Static,-9.448985317564606
zone7,Static,-10.732688473198628
zone8,Static,-11.408318534751604
zone9,Static,-10.36801639095758
zone10,Static,-9.360080685133843
zone1,ACI,-5.002934006284687
zone2,ACI,-5.087877096521187
zone3,ACI,-4.8186880916403885
zone4,ACI,-4.321199798485087
zone5,ACI,-4.388455010158509
zone6,ACI,-4.482128756251413
zone7,ACI,-5.409789509608308
zone8,ACI,-5.114122049564617
zone9,ACI,-4.813865509347992
zone10,ACI,-4.1771149741375755
zone1,AgACI,-4.79699476349712
zone2,AgACI,-5.498157178642204
zone3,AgACI,-4.677631437111818
zone4,AgACI,-3.689640978841657
zone5,AgACI,-3.81245084184304
zone6,AgACI,-3.652983231851448
zone7,AgACI,-6.018990541356195
zone8,AgACI,-4.978857553535021
zone9,AgACI,-4.99725949543276
zone10,AgACI,-3.399374357293561
zone1,EnbPI-RH,-8.32178006738723
zone2,EnbPI-RH,-8.163452073239208
zone3,EnbPI-RH,-8.538634978688153
zone4,EnbPI-RH,-8.594385234455839
zone5,EnbPI-RH,-8.344133579127366
zone6,EnbPI-RH,-9.183914263163086
zone7,EnbPI-RH,-8.275331632057734
zone8,EnbPI-RH,-8.314625899420857
zone9,EnbPI-RH,-8.4231031149554
zone10,EnbPI-RH,-8.220730954620004
zone1,WIDTH_ONLY,-11.724881005936272
zone2,WIDTH_ONLY,-12.187032001031906
zone3,WIDTH_ONLY,-11.1903477809136
zone4,WIDTH_ONLY,-11.463513536995473
zone5,WIDTH_ONLY,-10.453994089573882
zone6,WIDTH_ONLY,-10.67411658323122
zone7,WIDTH_ONLY,-11.588687749131966
zone8,WIDTH_ONLY,-12.164107769114462
zone9,WIDTH_ONLY,-10.857733785097334
zone10,WIDTH_ONLY,-10.57807654100027
zone1,FEASIBLE_STATE_ORACLE,0.7909073977510284
zone2,FEASIBLE_STATE_ORACLE,1.111993731463623
zone3,FEASIBLE_STATE_ORACLE,0.7715914111871003
zone4,FEASIBLE_STATE_ORACLE,0.6819087844730065
zone5,FEASIBLE_STATE_ORACLE,0.632751249825092
zone6,FEASIBLE_STATE_ORACLE,0.630249232190061
zone7,FEASIBLE_STATE_ORACLE,0.8527100313007407
zone8,FEASIBLE_STATE_ORACLE,0.8477061749671666
zone9,FEASIBLE_STATE_ORACLE,0.7109927919223047
zone10,FEASIBLE_STATE_ORACLE,0.5181504610883625
