method,horizon_steps,ERRF,TUWR,TUWR_pct
ACI,1,1.87731597293146,0.003246712514683911,0.3246712514683911
ACI,3,2.4855463468998407,0.006914413642645833,0.6914413642645832
ACI,6,3.0535727507860453,0.011033645865531018,1.1033645865531019
ACI,12,3.5726953260884105,0.0170062101086769,1.7006210108676902
ACI,24,3.8929516087074494,0.026490779104720124,2.6490779104720126
AgACI,1,1.8773051097993154,0.0016403211642202985,0.16403211642202986
AgACI,3,2.4876010497400403,0.004817302310706005,0.48173023107060053
AgACI,6,3.051704317725845,0.009982141017275131,0.9982141017275131
AgACI,12,3.5611468690943777,0.01840175953079179,1.840175953079179
AgACI,24,3.868424333306899,0.031054512957998215,3.1054512957998215
CART,1,1.8403122360903463,0.08101076630056683,8.101076630056683
CART,3,2.445258466682598,0.09676958046351186,9.676958046351187
CART,6,3.009979643959875,0.12346384128401507,12.346384128401507
CART,12,3.535767155231949,0.14205807601633028,14.205807601633028
CART,24,3.8420228902930584,0.12961282685143274,12.961282685143274
CLARA,1,1.7822306324323998,0.06302112202187475,6.302112202187475
CLARA,3,2.3671307215258266,0.08815360540954209,8.81536054095421
CLARA,6,2.92391037929238,0.10963320397018923,10.963320397018924
CLARA,12,3.437289352312232,0.13080288655051464,13.080288655051465
CLARA,24,3.7550178351877186,0.1199210798138412,11.99210798138412
EEE,1,1.8889975261484324,0.037047650003991746,3.7047650003991746
EEE,3,2.49748648443723,0.05220476533141441,5.220476533141441
EEE,6,3.065222403300884,0.07853144211285504,7.853144211285504
EEE,12,3.585764380276639,0.10887240526709217,10.887240526709217
EEE,24,3.8738228156453682,0.11935024314380882,11.935024314380883
EnbPI-RH,1,1.9585842037921968,0.11272196941184522,11.272196941184522
EnbPI-RH,3,2.583315444661346,0.14447794949114212,14.447794949114211
EnbPI-RH,6,3.1783346152687866,0.17354008540257124,17.354008540257123
EnbPI-RH,12,3.7349344991586606,0.20069087459030532,20.069087459030534
EnbPI-RH,24,4.047805349700585,0.20591088982509892,20.59108898250989
LinUCB,1,1.8129127703535948,0.08041890489387667,8.041890489387667
LinUCB,3,2.400678416845041,0.1103897246113605,11.03897246113605
LinUCB,6,2.9566466480656,0.14757976439880482,14.757976439880483
LinUCB,12,3.497572290365149,0.16596250934391352,16.596250934391353
LinUCB,24,3.8169046306893177,0.16325006093102606,16.325006093102605
Static,1,1.9602016103563669,0.22621206418722414,22.621206418722416
Static,3,2.6022804861987257,0.27110903608265086,27.110903608265087
Static,6,3.2221578394325014,0.32297197513480097,32.2971975134801
Static,12,3.8224613774576244,0.3425329193260882,34.25329193260882
Static,24,4.160076387094024,0.31402196998711746,31.402196998711744
TSC,1,1.8833149465042636,0.006134168177826439,0.6134168177826439
TSC,3,2.4925426270450406,0.011637768563889936,1.1637768563889936
TSC,6,3.065863228174556,0.01564721640278875,1.5647216402788748
TSC,12,3.591021778796476,0.021871657754010693,2.1871657754010694
TSC,24,3.8964115220313205,0.029944697840140203,2.9944697840140204
