method,ERRF,TUWR
ACI,2.9764164010826413,0.012938352247251556
AgACI,2.969236335933296,0.013179207396198288
CART,2.934668078451565,0.11458301818317136
CLARA,2.8531157841501114,0.10230637955319238
EEE,2.9822587219617107,0.07920130117183243
EnbPI-RH,3.100594822516315,0.16746835374419258
FEASIBLE_STATE_ORACLE,2.817666159375118,0.10415282210485455
LinUCB,2.8969429512637404,0.1335201928357963
Static,3.153435540107848,0.29536959294357634
TSC,2.985830820510331,0.017047101747731205
WIDTH_ONLY,3.1908692504309135,0.3819532485748289
