baseline,relative_pct,low,high,wins
ACI,-4.142586262045855,-4.3685561164783335,-3.9116479551481227,10
AgACI,-3.910788453512737,-4.4261118235777595,-3.4070956037942297,10
CART,-2.7789273649128754,-2.9779459446292753,-2.5166814098553405,10
EEE,-4.33037337976665,-4.472865491127943,-4.187404596387962,10
EnbPI-RH,-7.98166327857569,-8.145769039902262,-7.8611663632240685,10
FEASIBLE_STATE_ORACLE,1.2581201167868317,1.16692205601454,1.356863472021419,0
LinUCB,-1.512876430463006,-1.8822226605678636,-1.2137086849485978,10
Static,-9.523573643349813,-10.067844071604348,-8.966570757005323,10
TSC,-4.444827732655543,-4.552084584220362,-4.345531904832746,10
WIDTH_ONLY,-10.584998624910424,-10.990786593236031,-10.184625064226992,10
