method,zone_or_farm,price_id,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap
CLARA_online,Pooled,ALL,0.6522091467118256,0.3839721218806212,0.2682370248312029,0.6773725141128435,0.4222644607890878,0.1046757641187276,0.666518568131025,0.1049679411778803,0.0064959877966978,0.0984719533811824
TSC,Pooled,ALL,0.6522113207097711,0.3768852938680253,0.2753260268417441,0.659401973341825,0.4143017326850452,0.135079420745319,0.582496130281499,0.0952704447483056,0.0105660620668043,0.0847043826815013
LinUCB,Pooled,ALL,0.6527994178566436,0.362252069895931,0.2905473479607126,0.6460618592710403,0.3978599079973035,0.2201897581972874,0.5453866920900245,0.1011937482368092,,
CART,Pooled,ALL,0.6701317657506385,0.3691251864765403,0.3010065792740981,0.6512728805332278,0.4055825108968646,0.2020159343111272,0.5877589123246771,0.1006503625987458,,
EEE,Pooled,ALL,0.6825077350887522,0.3826533778473453,0.2998543572414068,0.6481482747423352,0.4207827259202384,0.1644427062175338,0.6266165990367341,0.0900824930503927,0.0150772298409038,0.0750052632094888
EnbPI-RH,Pooled,ALL,0.7076707192155156,0.3237849016561782,0.3838858175593372,0.6028038669377247,0.3546383706492666,0.2649050406087175,0.4117324720409545,0.0616192271501749,,
ACI,Pooled,ALL,0.7217273754146193,0.4380396873744416,0.2836876880401775,0.7096508367709821,0.4830145343776525,0.0344046226618613,0.7877800656395487,0.1277343003316873,,
Static,Pooled,ALL,0.732369014341635,0.3107740843605363,0.4215949299810987,0.583945879480388,0.3400194748114667,0.3762787076688991,0.3884510797860835,0.0795320052118998,,
AgACI,Pooled,ALL,0.7378014836981499,0.4580148379982166,0.2797866456999331,0.720330092514462,0.5054585238425682,0.0947347311080215,0.7715089874956499,0.1498674620258032,,
CLARA,Pooled,ALL,0.6578203915881367,0.3870045078815854,0.2708158837065499,0.6754543384608181,0.4256716360710691,0.1128863788254012,0.6698803336036853,0.1055245238905658,0.0078926597453151,0.0976318641452507
Cost_update_only,Pooled,ALL,0.6536201577970776,0.3847163944195754,0.268903763377501,0.6744247936494978,0.4231007220688113,0.1191822576009608,0.6549649887257345,0.1056362024667993,0.0083826609890573,0.097253541477742
Reliability_update_only,Pooled,ALL,0.6580687865596209,0.3885187840833424,0.269550002476277,0.6801638818476119,0.4273730700056277,0.0952109315386001,0.6940134011989694,0.1064395822277772,0.0059377178844329,0.1005018643433442
