zone,baseline,reduction_pct
zone1,LinUCB,2.717474023445265
zone2,LinUCB,2.4920392571940897
zone3,LinUCB,3.511575504343889
zone4,LinUCB,2.713436902361066
zone5,LinUCB,2.4826167416837963
zone6,LinUCB,2.9145410136679595
zone7,LinUCB,1.8601724445087231
zone8,LinUCB,1.8853922840342483
zone9,LinUCB,1.7970376326893025
zone10,LinUCB,2.6108064079622522
zone1,CART,3.3380891968461723
zone2,CART,3.4681285165550468
zone3,CART,3.1136729402722607
zone4,CART,3.406614247896167
zone5,CART,2.7590256320304096
zone6,CART,3.1419346530564551
zone7,CART,3.1157727512955868
zone8,CART,3.3445922463639088
zone9,CART,3.0703709106367878
zone10,CART,2.7613465642924329
zone1,TSC,5.1761168121981065
zone2,TSC,4.8901995136791498
zone3,TSC,5.0757205903701363
zone4,TSC,4.8966900666059034
zone5,TSC,4.7839214531637975
zone6,TSC,5.155437586612055
zone7,TSC,5.1961876332304202
zone8,TSC,5.334963411483673
zone9,TSC,4.8698496100703537
zone10,TSC,4.8405928787508268
zone1,EEE,4.9544206793503909
zone2,EEE,5.0727898543637568
zone3,EEE,4.8369154434440897
zone4,EEE,5.0844312305128199
zone5,EEE,4.604827596077854
zone6,EEE,5.0664474927475496
zone7,EEE,4.9785270501097934
zone8,EEE,5.3036560185671364
zone9,EEE,4.8523668639978155
zone10,EEE,4.7341456883857376
zone1,Static,10.639108493540252
zone2,Static,11.355837374980071
zone3,Static,10.132458311458524
zone4,Static,10.2410694242972
zone5,Static,8.7905067869644142
zone6,Static,9.4489853175646061
zone7,Static,10.732688473198628
zone8,Static,11.408318534751604
zone9,Static,10.36801639095758
zone10,Static,9.3600806851338429
zone1,ACI,5.0029340062846872
zone2,ACI,5.0878770965211872
zone3,ACI,4.8186880916403885
zone4,ACI,4.321199798485087
zone5,ACI,4.3884550101585091
zone6,ACI,4.4821287562514129
zone7,ACI,5.4097895096083084
zone8,ACI,5.1141220495646174
zone9,ACI,4.8138655093479921
zone10,ACI,4.1771149741375755
zone1,AgACI,4.7969947634971204
zone2,AgACI,5.4981571786422041
zone3,AgACI,4.6776314371118177
zone4,AgACI,3.6896409788416569
zone5,AgACI,3.8124508418430398
zone6,AgACI,3.6529832318514481
zone7,AgACI,6.018990541356195
zone8,AgACI,4.978857553535021
zone9,AgACI,4.9972594954327603
zone10,AgACI,3.3993743572935609
zone1,EnbPI-RH,8.3217800673872304
zone2,EnbPI-RH,8.163452073239208
zone3,EnbPI-RH,8.5386349786881528
zone4,EnbPI-RH,8.5943852344558387
zone5,EnbPI-RH,8.3441335791273659
zone6,EnbPI-RH,9.1839142631630857
zone7,EnbPI-RH,8.2753316320577337
zone8,EnbPI-RH,8.3146258994208573
zone9,EnbPI-RH,8.4231031149553992
zone10,EnbPI-RH,8.220730954620004
zone1,WIDTH_ONLY,11.724881005936272
zone2,WIDTH_ONLY,12.187032001031906
zone3,WIDTH_ONLY,11.1903477809136
zone4,WIDTH_ONLY,11.463513536995473
zone5,WIDTH_ONLY,10.453994089573882
zone6,WIDTH_ONLY,10.674116583231219
zone7,WIDTH_ONLY,11.588687749131966
zone8,WIDTH_ONLY,12.164107769114462
zone9,WIDTH_ONLY,10.857733785097334
zone10,WIDTH_ONLY,10.57807654100027
