method,zone_or_farm,price_id,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap
CLARA_online,Pooled,ALL,0.65220914671182562,0.38397212188062119,0.26823702483120287,0.67737251411284349,0.4222644607890878,0.1046757641187276,0.66651856813102495,0.1049679411778803,0.0064959877966977997,0.098471953381182406
TSC,Pooled,ALL,0.65221132070977106,0.37688529386802527,0.27532602684174412,0.65940197334182504,0.41430173268504522,0.13507942074531901,0.58249613028149905,0.095270444748305594,0.010566062066804299,0.084704382681501295
LinUCB,Pooled,ALL,0.65279941785664364,0.36225206989593101,0.29054734796071258,0.64606185927104032,0.39785990799730347,0.22018975819728739,0.54538669209002455,0.1011937482368092,,
CART,Pooled,ALL,0.67013176575063849,0.3691251864765403,0.30100657927409807,0.65127288053322785,0.40558251089686459,0.20201593431112719,0.58775891232467714,0.1006503625987458,,
EEE,Pooled,ALL,0.68250773508875218,0.38265337784734532,0.2998543572414068,0.64814827474233516,0.42078272592023841,0.16444270621753379,0.62661659903673406,0.090082493050392703,0.015077229840903801,0.075005263209488804
EnbPI-RH,Pooled,ALL,0.70767071921551561,0.32378490165617818,0.38388581755933721,0.6028038669377247,0.35463837064926662,0.2649050406087175,0.41173247204095448,0.061619227150174899,,
ACI,Pooled,ALL,0.72172737541461929,0.4380396873744416,0.28368768804017752,0.70965083677098206,0.48301453437765252,0.034404622661861298,0.78778006563954872,0.12773430033168731,,
Static,Pooled,ALL,0.73236901434163504,0.31077408436053627,0.42159492998109871,0.58394587948038801,0.34001947481146672,0.37627870766889909,0.38845107978608351,0.079532005211899806,,
AgACI,Pooled,ALL,0.73780148369814991,0.45801483799821657,0.27978664569993311,0.72033009251446201,0.50545852384256817,0.094734731108021497,0.77150898749564989,0.1498674620258032,,
CLARA,Pooled,ALL,0.65782039158813665,0.38700450788158541,0.27081588370654991,0.67545433846081815,0.42567163607106911,0.1128863788254012,0.66988033360368526,0.1055245238905658,0.0078926597453150994,0.097631864145250699
Cost_update_only,Pooled,ALL,0.65362015779707761,0.38471639441957539,0.26890376337750099,0.67442479364949781,0.42310072206881127,0.11918225760096079,0.6549649887257345,0.10563620246679931,0.0083826609890572997,0.097253541477741998
Reliability_update_only,Pooled,ALL,0.65806878655962087,0.38851878408334239,0.26955000247627697,0.6801638818476119,0.42737307000562769,0.095210931538600094,0.69401340119896937,0.1064395822277772,0.0059377178844328997,0.1005018643433442
