omitted_zone,best_rank,best_excess,CLARA_rank,CLARA_excess
zone1,CLARA,CLARA,3.2601515151515152,2.4044106584275498
zone10,CLARA,CLARA,3.267020202020202,2.4553428495137237
zone2,CLARA,CLARA,3.271818181818182,2.3436206786706077
zone3,CLARA,CLARA,3.2825252525252524,2.382904728349802
zone4,CLARA,CLARA,3.2758080808080807,2.451854094034752
zone5,CLARA,CLARA,3.258939393939394,2.476619547126658
zone6,CLARA,CLARA,3.278989898989899,2.4779126904002373
zone7,CLARA,CLARA,3.2676262626262624,2.364569667765345
zone8,CLARA,CLARA,3.286363636363636,2.386551832265745
zone9,CLARA,CLARA,3.2684848484848485,2.386761123324673
