method,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap
ACI,2.9764164010826413,1.6734450249995552,1.302971376083086,0.6725350133466893,0.46924643890397305,0.6660802366055419,0.012938352247251556,0.601192661211112,0.08788434913965455,0.001377308408229311,0.08650704073142525
AgACI,2.969236335933296,1.7793664930507809,1.1898698428825147,0.6993629191107409,0.49899966026667697,0.6814772364853694,0.013179207396198288,0.6861955051511243,0.11450259298107099,0.0011142915642941874,0.11338830141677682
CART,2.934668078451565,1.5479059166125821,1.3867621618389834,0.6329980511442617,0.43398264441325035,0.6755671741296647,0.11458301818317136,0.3895680477541711,0.07542490543260316,0.015097874632502962,0.0603270308001002
CLARA,2.8531157841501114,1.575132476092643,1.2779833080574685,0.643748202004257,0.44163055437955956,0.6727088240358378,0.10230637955319238,0.42427228355141605,0.08235096587458604,0.013124317030198576,0.06922664884438746
EEE,2.9822587219617107,1.562657807073203,1.4196009148885078,0.6265460154561503,0.4381264338684809,0.655812388769388,0.07920130117183243,0.35308795354030464,0.061417805138423,0.011245152679708778,0.05017265245871422
EnbPI-RH,3.100594822516315,1.4391666366529934,1.6614281858633217,0.5934953145947452,0.40343790285156816,0.6656002158105634,0.16746835374419258,0.1920094818208795,0.05356841152656414,0.023779459753418077,0.02978895177314606
LinUCB,2.8969429512637404,1.5319109366613113,1.365032014602429,0.6285107726989914,0.429489672516826,0.6721176420353049,0.1335201928357963,0.387044653190125,0.0774021609000418,0.01832500855368455,0.05907715234635725
LinUCB (pre-period initialization),2.9040634638498415,1.540553667831317,1.3635097960185243,0.6288297760705859,0.43191740599154665,0.6689871903059613,0.12457834014255909,0.3824847821470907,0.07576210535219433,0.017319120279191406,0.058442985073002905
Static,3.153435540107848,1.358653073589482,1.7947824665183663,0.5656717479643949,0.38082173345170545,0.6771430195818395,0.29536959294357634,0.12830154430425747,0.06319049573365197,0.042945330431775085,0.02024516530187689
TSC,2.985830820510331,1.6134316279381413,1.3723991925721906,0.6574929722261769,0.4523887431002051,0.658243201733149,0.017047101747731205,0.5225509242050661,0.07407246621799783,0.002043460589103265,0.07202900562889457
