zone_or_farm,price_id,predictor,horizon_steps,target_coverage,method,excess_ERRF_pct
zone1,R01,GBR,1,0.10000000000000001,Static,0
zone1,R01,GBR,1,0.20000000000000001,Static,0
zone1,R01,GBR,1,0.29999999999999999,Static,0
zone1,R01,GBR,1,0.40000000000000002,Static,0
zone1,R01,GBR,1,0.5,Static,0
zone1,R01,GBR,1,0.59999999999999998,Static,0
zone1,R01,GBR,1,0.69999999999999996,Static,0
zone1,R01,GBR,1,0.80000000000000004,Static,0
zone1,R01,GBR,1,0.90000000000000002,Static,0
zone1,R01,GBR,1,0.94999999999999996,Static,0
zone1,R01,GBR,1,0.98999999999999999,Static,0
zone1,R01,GBR,3,0.10000000000000001,Static,0
zone1,R01,GBR,3,0.20000000000000001,Static,0
zone1,R01,GBR,3,0.29999999999999999,Static,0
zone1,R01,GBR,3,0.40000000000000002,Static,0
zone1,R01,GBR,3,0.5,Static,0
zone1,R01,GBR,3,0.59999999999999998,Static,0
zone1,R01,GBR,3,0.69999999999999996,Static,0
zone1,R01,GBR,3,0.80000000000000004,Static,0
zone1,R01,GBR,3,0.90000000000000002,Static,0
zone1,R01,GBR,3,0.94999999999999996,Static,0
zone1,R01,GBR,3,0.98999999999999999,Static,0
zone1,R01,GBR,6,0.10000000000000001,Static,0
zone1,R01,GBR,6,0.20000000000000001,Static,0
zone1,R01,GBR,6,0.29999999999999999,Static,0
zone1,R01,GBR,6,0.40000000000000002,Static,0
zone1,R01,GBR,6,0.5,Static,0
zone1,R01,GBR,6,0.59999999999999998,Static,0
zone1,R01,GBR,6,0.69999999999999996,Static,0
zone1,R01,GBR,6,0.80000000000000004,Static,0
zone1,R01,GBR,6,0.90000000000000002,Static,0
zone1,R01,GBR,6,0.94999999999999996,Static,0
zone1,R01,GBR,6,0.98999999999999999,Static,0
zone1,R01,GBR,12,0.10000000000000001,Static,0
zone1,R01,GBR,12,0.20000000000000001,Static,0
zone1,R01,GBR,12,0.29999999999999999,Static,0
zone1,R01,GBR,12,0.40000000000000002,Static,0
zone1,R01,GBR,12,0.5,Static,0
zone1,R01,GBR,12,0.59999999999999998,Static,0
zone1,R01,GBR,12,0.69999999999999996,Static,0
zone1,R01,GBR,12,0.80000000000000004,Static,0
zone1,R01,GBR,12,0.90000000000000002,Static,0
zone1,R01,GBR,12,0.94999999999999996,Static,0
zone1,R01,GBR,12,0.98999999999999999,Static,0
zone1,R01,GBR,24,0.10000000000000001,Static,0.091176108454216198
zone1,R01,GBR,24,0.20000000000000001,Static,0
zone1,R01,GBR,24,0.29999999999999999,Static,0
zone1,R01,GBR,24,0.40000000000000002,Static,0
zone1,R01,GBR,24,0.5,Static,0.42178719803045439
zone1,R01,GBR,24,0.59999999999999998,Static,0.87756937569338778
zone1,R01,GBR,24,0.69999999999999996,Static,0
zone1,R01,GBR,24,0.80000000000000004,Static,0
zone1,R01,GBR,24,0.90000000000000002,Static,0
zone1,R01,GBR,24,0.94999999999999996,Static,0
zone1,R01,GBR,24,0.98999999999999999,Static,0
zone1,R01,MLP,1,0.10000000000000001,Static,0
zone1,R01,MLP,1,0.20000000000000001,Static,0
zone1,R01,MLP,1,0.29999999999999999,Static,0
zone1,R01,MLP,1,0.40000000000000002,Static,0
zone1,R01,MLP,1,0.5,Static,0
zone1,R01,MLP,1,0.59999999999999998,Static,0
zone1,R01,MLP,1,0.69999999999999996,Static,0
zone1,R01,MLP,1,0.80000000000000004,Static,0
zone1,R01,MLP,1,0.90000000000000002,Static,0
zone1,R01,MLP,1,0.94999999999999996,Static,0
zone1,R01,MLP,1,0.98999999999999999,Static,0
zone1,R01,MLP,3,0.10000000000000001,Static,0
zone1,R01,MLP,3,0.20000000000000001,Static,0
zone1,R01,MLP,3,0.29999999999999999,Static,0
zone1,R01,MLP,3,0.40000000000000002,Static,0
zone1,R01,MLP,3,0.5,Static,0
zone1,R01,MLP,3,0.59999999999999998,Static,0
zone1,R01,MLP,3,0.69999999999999996,Static,0
zone1,R01,MLP,3,0.80000000000000004,Static,0
zone1,R01,MLP,3,0.90000000000000002,Static,0
zone1,R01,MLP,3,0.94999999999999996,Static,0
