method,rank,excess,omitted_zone
ACI,6.291212121212122,8.183480276805213,zone1
AgACI,6.461868686868687,10.250634703309125,zone1
CART,4.600808080808081,4.996917851826452,zone1
CLARA,2.665,1.6341250237056568,zone1
EEE,5.115808080808081,6.383627789864622,zone1
EnbPI-RH,5.08479797979798,7.271755560064573,zone1
LinUCB,4.366616161616161,3.0927212029713793,zone1
Static,4.597474747474747,7.610455731061244,zone1
TSC,5.816414141414141,7.209077301379078,zone1
ACI,6.301616161616162,8.071769149697936,zone2
AgACI,6.452777777777778,10.056997259265708,zone2
CART,4.572626262626263,4.891964723628838,zone2
CLARA,2.6444949494949497,1.5879190143267086,zone2
EEE,5.113636363636363,6.28326279890425,zone2
EnbPI-RH,5.071767676767677,7.193464941019041,zone2
LinUCB,4.419444444444444,3.128549322346535,zone2
Static,4.572323232323232,7.491364209424593,zone2
TSC,5.85131313131313,7.141345808090013,zone2
ACI,6.307979797979798,8.21491565246298,zone3
AgACI,6.457020202020201,10.270801242983357,zone3
CART,4.59969696969697,5.0103886216534725,zone3
CLARA,2.661969696969697,1.6268868344766176,zone3
EEE,5.131111111111111,6.40207290020614,zone3
EnbPI-RH,5.067474747474748,7.26572583746188,zone3
LinUCB,4.345000000000001,3.0685904707415617,zone3
Static,4.59030303030303,7.664813055617058,zone3
TSC,5.839444444444444,7.230079068322182,zone3
ACI,6.312929292929294,8.392859822770866,zone4
AgACI,6.4915656565656565,10.522085211097545,zone4
CART,4.577727272727273,5.098254319487279,zone4
CLARA,2.6661111111111113,1.6763647934352444,zone4
EEE,5.091111111111111,6.481519515619013,zone4
EnbPI-RH,5.074646464646465,7.346537262700603,zone4
LinUCB,4.37459595959596,3.1678870270326356,zone4
Static,4.582575757575757,7.700880733774296,zone4
TSC,5.828737373737373,7.3662947844390585,zone4
ACI,6.2844444444444445,8.406345126127604,zone5
AgACI,6.476767676767676,10.529386777178333,zone5
CART,4.605050505050505,5.1743320958359496,zone5
CLARA,2.6543434343434344,1.6970334683865456,zone5
EEE,5.111515151515151,6.537756647523812,zone5
EnbPI-RH,5.091414141414142,7.4151017481490396,zone5
LinUCB,4.3799494949494955,3.2209113256605773,zone5
Static,4.5879797979797985,7.812900138958558,zone5
TSC,5.808535353535353,7.400337444359705,zone5
ACI,6.3093939393939396,8.407532963334656,zone6
AgACI,6.5047979797979805,10.570028690043388,zone6
CART,4.596464646464646,5.143068359380477,zone6
CLARA,2.680151515151515,1.7142617109915037,zone6
EEE,5.101111111111111,6.506034210182129,zone6
EnbPI-RH,5.057777777777778,7.325756152670795,zone6
LinUCB,4.371565656565656,3.1866913130997907,zone6
Static,4.5753535353535355,7.751867736671467,zone6
TSC,5.803383838383839,7.362487883361849,zone6
ACI,6.277979797979798,8.057140849417252,zone7
AgACI,6.42520202020202,10.002798678345393,zone7
CART,4.605555555555556,4.942113195986931,zone7
CLARA,2.654949494949495,1.6008758425785763,zone7
EEE,5.1153535353535355,6.318521847683207,zone7
EnbPI-RH,5.091414141414142,7.2433253913349755,zone7
LinUCB,4.404090909090909,3.157197949173225,zone7
Static,4.59459595959596,7.5817735307510405,zone7
TSC,5.830858585858586,7.134318014052143,zone7
ACI,6.288484848484848,8.143256280630247,zone8
AgACI,6.461565656565657,10.206792427763705,zone8
CART,4.602929292929293,4.9719444416201455,zone8
CLARA,2.67010101010101,1.6070016697836722,zone8
EEE,5.097929292929293,6.3226326507091635,zone8
EnbPI-RH,5.089747474747475,7.230044795631656,zone8
LinUCB,4.399343434343434,3.184657330423387,zone8
Static,4.5759595959595964,7.518815767204022,zone8
TSC,5.813939393939394,7.164042707566264,zone8
ACI,6.280202020202021,8.19367448138664,zone9
AgACI,6.440555555555556,10.20796754747621,zone9
CART,4.600656565656566,5.01601157338304,zone9
CLARA,2.627272727272727,1.614557952018025,zone9
EEE,5.098686868686869,6.3951000811494305,zone9
EnbPI-RH,5.096010101010101,7.30699882168622,zone9
LinUCB,4.4231313131313135,3.2372548681056337,zone9
Static,4.613939393939393,7.6555340353979675,zone9
TSC,5.819545454545454,7.236103427433948,zone9
ACI,6.300303030303031,8.448412810243688,zone10
AgACI,6.494242424242424,10.628259445311606,zone10
CART,4.591212121212121,5.158438505495528,zone10
CLARA,2.6796969696969697,1.6958830843257375,zone10
EEE,5.108282828282828,6.532634719397382,zone10
EnbPI-RH,5.064040404040404,7.370389485440792,zone10
LinUCB,4.379444444444444,3.188671522730107,zone10
Static,4.581767676767677,7.749337076878351,zone10
TSC,5.801010101010101,7.396837474157945,zone10
