method,zone_or_farm,price_id,ERRF,capacity,exceedance,coverage,width,TUWR,TOWR,ARD,under_gap,over_gap
CLARA,Pooled,ALL,2.845153263903573,1.5816572982481354,1.2634959656554383,0.6419445441020255,0.4434223525442604,0.1088965440715381,0.4212059077609697,0.0840703843924446,,
LinUCB,Pooled,ALL,2.918692970040744,1.5493913178249406,1.3693016522158028,0.6274776433180849,0.4343588748972958,0.1233977255985305,0.3918697865383025,0.0765594705365527,,
CART,Pooled,ALL,2.9375679195599926,1.5459563543239243,1.3916115652360688,0.6318441221127036,0.43339399750937,0.1256891664152458,0.406245987104964,0.0789076366059853,,
TSC,Pooled,ALL,2.9954765297135904,1.6195852426304995,1.3758912870830913,0.6565368198496693,0.4540762695055987,0.0170451213680217,0.5291343556953144,0.0750300203774426,,
EEE,Pooled,ALL,2.99316256410616,1.5677773676987483,1.4253851964074111,0.6250133632647323,0.4395234956483655,0.0783405868517103,0.3581491356275426,0.0615904051043401,,
Static,Pooled,ALL,3.1689734698822,1.363673875220838,1.805299594661363,0.5631864435295781,0.3821910539410874,0.2957843258691774,0.128312277669445,0.0630677476702681,,
ACI,Pooled,ALL,2.986771844890476,1.6792560233738263,1.3075158215166502,0.6717112424061767,0.4708377247705776,0.0131659390040778,0.6066218156732439,0.0889015963687124,,
AgACI,Pooled,ALL,2.9795301661439373,1.7799128852112684,1.1996172809326715,0.6975829874371385,0.4991121241631167,0.0148201526210897,0.6869647390507988,0.1152099394571073,,
EnbPI-RH,Pooled,ALL,3.1075787454096675,1.4482666869890697,1.6593120584205974,0.59291681078095,0.4059530797186803,0.162512337738439,0.2001684298320867,0.0536974980043025,,
WIDTH_ONLY,Pooled,ALL,3.2065220153578444,1.3085088937116738,1.8980131216461704,0.5424445118419078,0.3666952726182885,0.3821947680750305,0.0697708505628591,0.0673539761085789,,
FEASIBLE_STATE_ORACLE,,ALL,2.8240458733648657,1.5726624221303522,1.251383451234514,0.6411284269366624,0.4408957019493776,0.1078433283153364,0.4179181456636702,0.0827588328063204,0.0135798523441968,0.0691789804621235
