baseline,relative_pct,low,high,wins
LinUCB,-2.5196108974813947,-2.823558238814987,-2.206923798721756,10.0
CART,-3.1459580914221847,-3.2890321580512105,-2.9901900739206755,10.0
TSC,-5.018342301095913,-5.130622440887897,-4.912744032042869,10.0
EEE,-4.944913516476046,-5.065501243713166,-4.825937534205815,10.0
Static,-10.218457461263142,-10.72926189473027,-9.71673618808307,10.0
ACI,-4.741526582593592,-4.984717636890459,-4.5110573999277435,10.0
AgACI,-4.510003079253022,-5.046729214020923,-4.025173541499252,10.0
EnbPI-RH,-8.444692894548,-8.639169099647885,-8.293176667932782,10.0
WIDTH_ONLY,-11.269804159256424,-11.651978037255388,-10.90590636855472,10.0
FEASIBLE_STATE_ORACLE,0.7474167023199918,0.6604974702992439,0.8499798706458145,0.0
