held_out_zone,seed,price_id,n_min,nu,beta,state_count
zone1,0,R01,10,0,1.0,1514
zone1,0,R01,10,10,1.0,601
zone1,0,R01,10,30,1.0,244
zone1,0,R01,10,60,1.0,140
zone1,0,R01,10,100,1.0,46
zone1,0,R01,20,0,1.0,8
zone1,0,R01,20,10,1.0,1
zone1,0,R01,20,30,1.0,1
zone1,0,R01,30,0,1.0,10
zone1,0,R01,30,10,1.0,5
zone1,0,R01,50,0,1.0,1356
zone1,0,R01,50,10,1.0,978
zone1,0,R01,50,30,1.0,806
zone1,0,R01,50,60,1.0,501
zone1,0,R01,50,100,1.0,389
zone1,0,R02,10,0,1.0,979
zone1,0,R02,10,10,1.0,311
zone1,0,R02,10,30,1.0,131
zone1,0,R02,10,60,1.0,73
zone1,0,R02,10,100,1.0,45
zone1,0,R02,20,0,1.0,4
zone1,0,R02,20,30,1.0,1
zone1,0,R02,30,0,1.0,5
zone1,0,R02,30,10,1.0,1
zone1,0,R02,30,30,1.0,1
zone1,0,R02,50,0,1.0,1766
zone1,0,R02,50,10,1.0,1320
zone1,0,R02,50,30,1.0,895
zone1,0,R02,50,60,1.0,569
zone1,0,R02,50,100,1.0,499
zone1,0,R05P6179775281,10,0,1.0,439
zone1,0,R05P6179775281,10,10,1.0,109
zone1,0,R05P6179775281,10,30,1.0,62
zone1,0,R05P6179775281,10,60,1.0,35
zone1,0,R05P6179775281,10,100,1.0,36
zone1,0,R05P6179775281,20,0,1.0,2
zone1,0,R05P6179775281,50,0,1.0,1935
zone1,0,R05P6179775281,50,10,1.0,1579
zone1,0,R05P6179775281,50,30,1.0,1083
zone1,0,R05P6179775281,50,60,1.0,712
zone1,0,R05P6179775281,50,100,1.0,608
zone1,0,R10,10,0,1.0,343
zone1,0,R10,10,10,1.0,128
zone1,0,R10,10,30,1.0,77
zone1,0,R10,10,60,1.0,43
zone1,0,R10,10,100,1.0,39
zone1,0,R10,20,0,1.0,2
zone1,0,R10,30,0,1.0,2
zone1,0,R10,50,0,1.0,1732
zone1,0,R10,50,10,1.0,1623
zone1,0,R10,50,30,1.0,1181
zone1,0,R10,50,60,1.0,764
zone1,0,R10,50,100,1.0,666
zone1,0,R20,10,0,1.0,354
zone1,0,R20,10,10,1.0,191
zone1,0,R20,10,30,1.0,168
zone1,0,R20,10,60,1.0,77
zone1,0,R20,10,100,1.0,55
zone1,0,R20,20,0,1.0,3
zone1,0,R20,20,10,1.0,1
zone1,0,R20,30,0,1.0,3
zone1,0,R20,30,10,1.0,2
zone1,0,R20,50,0,1.0,1444
zone1,0,R20,50,10,1.0,1533
zone1,0,R20,50,30,1.0,1279
zone1,0,R20,50,60,1.0,845
zone1,0,R20,50,100,1.0,645
zone1,1,R01,10,0,1.0,1415
zone1,1,R01,10,10,1.0,581
zone1,1,R01,10,30,1.0,223
zone1,1,R01,10,60,1.0,125
zone1,1,R01,10,100,1.0,58
zone1,1,R01,20,0,1.0,7
zone1,1,R01,20,10,1.0,1
zone1,1,R01,30,0,1.0,12
zone1,1,R01,30,10,1.0,2
zone1,1,R01,50,0,1.0,1428
zone1,1,R01,50,10,1.0,997
zone1,1,R01,50,30,1.0,837
zone1,1,R01,50,60,1.0,522
zone1,1,R01,50,100,1.0,392
zone1,1,R02,10,0,1.0,930
zone1,1,R02,10,10,1.0,291
zone1,1,R02,10,30,1.0,134
zone1,1,R02,10,60,1.0,62
zone1,1,R02,10,100,1.0,49
zone1,1,R02,20,0,1.0,1
zone1,1,R02,30,0,1.0,6
zone1,1,R02,30,30,1.0,1
zone1,1,R02,50,0,1.0,1778
zone1,1,R02,50,10,1.0,1306
zone1,1,R02,50,30,1.0,950
zone1,1,R02,50,60,1.0,610
zone1,1,R02,50,100,1.0,482
zone1,1,R05P6179775281,10,0,1.0,417
zone1,1,R05P6179775281,10,10,1.0,107
zone1,1,R05P6179775281,10,30,1.0,63
zone1,1,R05P6179775281,10,60,1.0,39
zone1,1,R05P6179775281,10,100,1.0,24
zone1,1,R05P6179775281,20,0,1.0,1
zone1,1,R05P6179775281,30,0,1.0,1
zone1,1,R05P6179775281,50,0,1.0,1865
zone1,1,R05P6179775281,50,10,1.0,1581
zone1,1,R05P6179775281,50,30,1.0,1124
zone1,1,R05P6179775281,50,60,1.0,742
zone1,1,R05P6179775281,50,100,1.0,636
zone1,1,R10,10,0,1.0,357
zone1,1,R10,10,10,1.0,137
zone1,1,R10,10,30,1.0,78
zone1,1,R10,10,60,1.0,51
zone1,1,R10,10,100,1.0,38
zone1,1,R10,20,0,1.0,2
zone1,1,R10,30,0,1.0,1
zone1,1,R10,50,0,1.0,1606
zone1,1,R10,50,10,1.0,1627
zone1,1,R10,50,30,1.0,1234
zone1,1,R10,50,60,1.0,788
zone1,1,R10,50,100,1.0,681
zone1,1,R20,10,0,1.0,356
zone1,1,R20,10,10,1.0,208
zone1,1,R20,10,30,1.0,177
zone1,1,R20,10,60,1.0,81
zone1,1,R20,10,100,1.0,66
zone1,1,R20,20,0,1.0,3
zone1,1,R20,30,0,1.0,1
zone1,1,R20,30,10,1.0,1
zone1,1,R20,50,0,1.0,1331
zone1,1,R20,50,10,1.0,1546
zone1,1,R20,50,30,1.0,1306
zone1,1,R20,50,60,1.0,865
zone1,1,R20,50,100,1.0,659
zone1,2,R01,10,0,1.0,1400
zone1,2,R01,10,10,1.0,586
zone1,2,R01,10,30,1.0,204
zone1,2,R01,10,60,1.0,132
zone1,2,R01,10,100,1.0,64
zone1,2,R01,20,0,1.0,10
zone1,2,R01,30,0,1.0,12
zone1,2,R01,30,10,1.0,2
zone1,2,R01,30,60,1.0,1
zone1,2,R01,30,100,1.0,1
zone1,2,R01,50,0,1.0,1441
zone1,2,R01,50,10,1.0,1014
zone1,2,R01,50,30,1.0,814
zone1,2,R01,50,60,1.0,516
zone1,2,R01,50,100,1.0,403
zone1,2,R02,10,0,1.0,858
zone1,2,R02,10,10,1.0,308
zone1,2,R02,10,30,1.0,103
zone1,2,R02,10,60,1.0,64
zone1,2,R02,10,100,1.0,57
zone1,2,R02,20,0,1.0,3
zone1,2,R02,30,0,1.0,6
zone1,2,R02,30,30,1.0,1
zone1,2,R02,30,60,1.0,1
zone1,2,R02,50,0,1.0,1870
zone1,2,R02,50,10,1.0,1299
zone1,2,R02,50,30,1.0,966
zone1,2,R02,50,60,1.0,592
zone1,2,R02,50,100,1.0,472
zone1,2,R05P6179775281,10,0,1.0,429
zone1,2,R05P6179775281,10,10,1.0,105
zone1,2,R05P6179775281,10,30,1.0,62
zone1,2,R05P6179775281,10,60,1.0,27
zone1,2,R05P6179775281,10,100,1.0,38
zone1,2,R05P6179775281,20,0,1.0,2
zone1,2,R05P6179775281,30,0,1.0,1
zone1,2,R05P6179775281,50,0,1.0,1872
zone1,2,R05P6179775281,50,10,1.0,1610
zone1,2,R05P6179775281,50,30,1.0,1146
zone1,2,R05P6179775281,50,60,1.0,696
zone1,2,R05P6179775281,50,100,1.0,612
zone1,2,R10,10,0,1.0,386
zone1,2,R10,10,10,1.0,113
zone1,2,R10,10,30,1.0,91
zone1,2,R10,10,60,1.0,42
zone1,2,R10,10,100,1.0,45
zone1,2,R10,20,0,1.0,2
zone1,2,R10,30,0,1.0,1
zone1,2,R10,50,0,1.0,1637
zone1,2,R10,50,10,1.0,1612
zone1,2,R10,50,30,1.0,1276
zone1,2,R10,50,60,1.0,726
zone1,2,R10,50,100,1.0,669
zone1,2,R20,10,0,1.0,398
zone1,2,R20,10,10,1.0,176
zone1,2,R20,10,30,1.0,180
zone1,2,R20,10,60,1.0,84
zone1,2,R20,10,100,1.0,64
zone1,2,R20,20,0,1.0,3
zone1,2,R20,20,60,1.0,1
zone1,2,R20,30,0,1.0,2
zone1,2,R20,30,10,1.0,2
zone1,2,R20,50,0,1.0,1332
zone1,2,R20,50,10,1.0,1548
zone1,2,R20,50,30,1.0,1323
zone1,2,R20,50,60,1.0,838
zone1,2,R20,50,100,1.0,649
zone10,0,R01,10,0,1.0,1850
zone10,0,R01,10,10,1.0,516
zone10,0,R01,10,30,1.0,276
zone10,0,R01,10,60,1.0,156
zone10,0,R01,10,100,1.0,72
zone10,0,R01,20,0,1.0,15
zone10,0,R01,20,10,1.0,1
zone10,0,R01,20,30,1.0,1
zone10,0,R01,30,0,1.0,13
zone10,0,R01,30,10,1.0,2
zone10,0,R01,30,30,1.0,2
zone10,0,R01,50,0,1.0,1280
zone10,0,R01,50,10,1.0,883
zone10,0,R01,50,30,1.0,695
zone10,0,R01,50,60,1.0,494
zone10,0,R01,50,100,1.0,344
zone10,0,R02,10,0,1.0,1218
zone10,0,R02,10,10,1.0,300
zone10,0,R02,10,30,1.0,163
zone10,0,R02,10,60,1.0,84
zone10,0,R02,10,100,1.0,47
zone10,0,R02,20,0,1.0,5
zone10,0,R02,30,0,1.0,6
zone10,0,R02,30,10,1.0,1
zone10,0,R02,30,60,1.0,1
zone10,0,R02,50,0,1.0,1739
zone10,0,R02,50,10,1.0,1167
zone10,0,R02,50,30,1.0,853
zone10,0,R02,50,60,1.0,561
zone10,0,R02,50,100,1.0,455
zone10,0,R05P6179775281,10,0,1.0,507
zone10,0,R05P6179775281,10,10,1.0,133
zone10,0,R05P6179775281,10,30,1.0,78
zone10,0,R05P6179775281,10,60,1.0,35
zone10,0,R05P6179775281,10,100,1.0,29
zone10,0,R05P6179775281,20,0,1.0,3
zone10,0,R05P6179775281,50,0,1.0,1966
zone10,0,R05P6179775281,50,10,1.0,1522
zone10,0,R05P6179775281,50,30,1.0,1010
zone10,0,R05P6179775281,50,60,1.0,716
zone10,0,R05P6179775281,50,100,1.0,601
zone10,0,R10,10,0,1.0,426
zone10,0,R10,10,10,1.0,139
zone10,0,R10,10,30,1.0,87
zone10,0,R10,10,60,1.0,37
zone10,0,R10,10,100,1.0,40
zone10,0,R10,20,0,1.0,1
zone10,0,R10,20,10,1.0,1
zone10,0,R10,30,30,1.0,1
zone10,0,R10,50,0,1.0,1736
zone10,0,R10,50,10,1.0,1582
zone10,0,R10,50,30,1.0,1113
zone10,0,R10,50,60,1.0,792
zone10,0,R10,50,100,1.0,645
zone10,0,R20,10,0,1.0,447
zone10,0,R20,10,10,1.0,194
zone10,0,R20,10,30,1.0,161
zone10,0,R20,10,60,1.0,79
zone10,0,R20,10,100,1.0,57
zone10,0,R20,20,0,1.0,4
zone10,0,R20,20,10,1.0,1
zone10,0,R20,20,30,1.0,1
zone10,0,R20,20,60,1.0,2
zone10,0,R20,30,0,1.0,1
zone10,0,R20,30,10,1.0,1
zone10,0,R20,30,30,1.0,1
zone10,0,R20,50,0,1.0,1426
zone10,0,R20,50,10,1.0,1514
zone10,0,R20,50,30,1.0,1228
zone10,0,R20,50,60,1.0,812
zone10,0,R20,50,100,1.0,671
zone10,1,R01,10,0,1.0,1731
zone10,1,R01,10,10,1.0,524
zone10,1,R01,10,30,1.0,244
zone10,1,R01,10,60,1.0,155
zone10,1,R01,10,100,1.0,63
zone10,1,R01,20,0,1.0,10
zone10,1,R01,20,10,1.0,1
zone10,1,R01,20,30,1.0,1
zone10,1,R01,30,0,1.0,10
zone10,1,R01,30,30,1.0,3
zone10,1,R01,50,0,1.0,1371
zone10,1,R01,50,10,1.0,888
zone10,1,R01,50,30,1.0,744
zone10,1,R01,50,60,1.0,496
zone10,1,R01,50,100,1.0,359
zone10,1,R02,10,0,1.0,1101
zone10,1,R02,10,10,1.0,272
zone10,1,R02,10,30,1.0,146
zone10,1,R02,10,60,1.0,83
zone10,1,R02,10,100,1.0,46
zone10,1,R02,20,0,1.0,4
zone10,1,R02,30,0,1.0,7
zone10,1,R02,30,30,1.0,1
zone10,1,R02,30,60,1.0,1
zone10,1,R02,50,0,1.0,1829
zone10,1,R02,50,10,1.0,1219
zone10,1,R02,50,30,1.0,860
zone10,1,R02,50,60,1.0,576
zone10,1,R02,50,100,1.0,455
zone10,1,R05P6179775281,10,0,1.0,456
zone10,1,R05P6179775281,10,10,1.0,121
zone10,1,R05P6179775281,10,30,1.0,80
zone10,1,R05P6179775281,10,60,1.0,40
zone10,1,R05P6179775281,10,100,1.0,26
zone10,1,R05P6179775281,20,0,1.0,1
zone10,1,R05P6179775281,30,0,1.0,1
zone10,1,R05P6179775281,30,30,1.0,1
zone10,1,R05P6179775281,50,0,1.0,2008
zone10,1,R05P6179775281,50,10,1.0,1522
zone10,1,R05P6179775281,50,30,1.0,1038
zone10,1,R05P6179775281,50,60,1.0,724
zone10,1,R05P6179775281,50,100,1.0,582
zone10,1,R10,10,0,1.0,418
zone10,1,R10,10,10,1.0,127
zone10,1,R10,10,30,1.0,98
zone10,1,R10,10,60,1.0,51
zone10,1,R10,10,100,1.0,41
zone10,1,R10,20,10,1.0,1
zone10,1,R10,30,30,1.0,1
zone10,1,R10,50,0,1.0,1787
zone10,1,R10,50,10,1.0,1513
zone10,1,R10,50,30,1.0,1151
zone10,1,R10,50,60,1.0,785
zone10,1,R10,50,100,1.0,627
zone10,1,R20,10,0,1.0,460
zone10,1,R20,10,10,1.0,192
zone10,1,R20,10,30,1.0,160
zone10,1,R20,10,60,1.0,90
zone10,1,R20,10,100,1.0,65
zone10,1,R20,20,0,1.0,2
zone10,1,R20,20,10,1.0,1
zone10,1,R20,20,30,1.0,1
zone10,1,R20,20,60,1.0,3
zone10,1,R20,30,0,1.0,3
zone10,1,R20,30,10,1.0,1
zone10,1,R20,30,30,1.0,1
zone10,1,R20,50,0,1.0,1406
zone10,1,R20,50,10,1.0,1498
zone10,1,R20,50,30,1.0,1271
zone10,1,R20,50,60,1.0,816
zone10,1,R20,50,100,1.0,630
zone10,2,R01,10,0,1.0,1752
zone10,2,R01,10,10,1.0,489
zone10,2,R01,10,30,1.0,255
zone10,2,R01,10,60,1.0,137
zone10,2,R01,10,100,1.0,73
zone10,2,R01,20,0,1.0,12
zone10,2,R01,20,30,1.0,1
zone10,2,R01,30,0,1.0,9
zone10,2,R01,30,30,1.0,2
zone10,2,R01,30,100,1.0,1
zone10,2,R01,50,0,1.0,1366
zone10,2,R01,50,10,1.0,881
zone10,2,R01,50,30,1.0,756
zone10,2,R01,50,60,1.0,500
zone10,2,R01,50,100,1.0,366
zone10,2,R02,10,0,1.0,1111
zone10,2,R02,10,10,1.0,278
zone10,2,R02,10,30,1.0,130
zone10,2,R02,10,60,1.0,64
zone10,2,R02,10,100,1.0,54
zone10,2,R02,20,0,1.0,4
zone10,2,R02,30,0,1.0,6
zone10,2,R02,30,60,1.0,1
zone10,2,R02,50,0,1.0,1840
zone10,2,R02,50,10,1.0,1162
zone10,2,R02,50,30,1.0,901
zone10,2,R02,50,60,1.0,562
zone10,2,R02,50,100,1.0,487
zone10,2,R05P6179775281,10,0,1.0,489
