Dataset,ρ,Multiplier,ERRF,TUWR (%),Under gap (pp),Over gap (pp)
GEFCom,1,0.5,1.7015,10.61,1.513,3.367
GEFCom,1,1,1.6432,20.26,2.761,2.501
GEFCom,1,2,1.6088,26.67,3.751,2.022
GEFCom,2,0.5,1.9161,8.90,1.296,3.612
GEFCom,2,1,1.8722,17.61,2.412,2.739
GEFCom,2,2,1.8474,24.00,3.323,2.224
GEFCom,20/3.56,0.5,2.5836,3.95,0.459,8.990
GEFCom,20/3.56,1,2.5630,8.07,0.944,8.542
GEFCom,20/3.56,2,2.5535,10.50,1.217,8.405
GEFCom,10,0.5,3.2978,2.91,0.274,10.558
GEFCom,10,1,3.2839,5.40,0.535,10.270
GEFCom,10,2,3.2784,6.93,0.671,10.212
GEFCom,20,0.5,4.8701,2.20,0.183,11.198
GEFCom,20,1,4.8634,3.11,0.261,11.070
GEFCom,20,2,4.8609,4.09,0.339,11.028
GEFCom,All,0.5,2.8738,5.72,0.745,7.545
GEFCom,All,1,2.8452,10.89,1.383,7.024
GEFCom,All,2,2.8298,14.44,1.860,6.778
Farms,1,0.5,0.4252,9.91,0.638,7.427
Farms,1,1,0.3904,19.41,1.545,5.277
Farms,1,2,0.3757,29.29,2.533,4.352
Farms,2,0.5,0.4700,8.94,0.557,8.016
Farms,2,1,0.4418,15.84,1.176,5.880
Farms,2,2,0.4283,24.75,2.131,4.935
Farms,20/3.56,0.5,0.6113,6.67,0.378,11.919
Farms,20/3.56,1,0.5969,9.44,0.605,10.842
Farms,20/3.56,2,0.5876,14.10,1.109,10.331
Farms,10,0.5,0.7611,4.47,0.219,13.991
Farms,10,1,0.7552,6.29,0.342,13.023
Farms,10,2,0.7504,9.87,0.701,12.532
Farms,20,0.5,1.1084,4.37,0.219,14.196
Farms,20,1,1.1048,5.46,0.278,13.794
Farms,20,2,1.1024,8.18,0.512,13.340
Farms,All,0.5,0.6752,6.87,0.402,11.110
Farms,All,1,0.6578,11.29,0.789,9.763
Farms,All,2,0.6489,17.24,1.397,9.098
