Farm,Method,ERRF,TUWR (%),ARD (pp),Width (p.u.)
Farm A,CLARA,0.6213,6.22,13.79,0.4398
Farm A,TSC,0.6342,2.04,14.12,0.4557
Farm A,LinUCB,0.6299,13.01,11.80,0.4227
Farm A,CART,0.6232,17.43,11.63,0.4112
Farm A,EEE,0.6294,18.87,9.38,0.4152
Farm A,EnbPI-RH,0.6460,28.98,7.17,0.3509
Farm A,ACI,0.6523,2.93,13.75,0.4714
Farm A,Static,0.6512,32.93,7.99,0.3416
Farm A,AgACI,0.6668,7.29,15.75,0.4968
Farm B,CLARA,0.5627,11.26,9.17,0.4104
Farm B,TSC,0.5536,22.37,3.25,0.3471
Farm B,LinUCB,0.5572,20.93,7.63,0.3766
Farm B,CART,0.5626,22.54,10.35,0.4016
Farm B,EEE,0.5722,14.02,8.64,0.4264
Farm B,EnbPI-RH,0.5601,24.00,5.16,0.3583
Farm B,ACI,0.6365,3.95,11.79,0.4946
Farm B,Static,0.5837,42.33,7.92,0.3384
Farm B,AgACI,0.6563,11.66,14.22,0.5141
