Farm,Comparator,Metric,Difference,24 h interval,168 h interval
A,Symmetric,ERRF,−0.0022,"[−0.0045, −0.0001]","[−0.0061, +0.0007]"
A,Symmetric,TUWR (pp),−3.6306,"[−4.1854, −3.1280]","[−4.6847, −2.6624]"
A,Symmetric,Under gap (pp),−0.4032,"[−0.4727, −0.3396]","[−0.5402, −0.2776]"
A,TSC,ERRF,+0.0032,"[+0.0002, +0.0063]","[−0.0021, +0.0083]"
A,TSC,TUWR (pp),−4.0823,"[−5.0630, −3.1240]","[−5.9088, −2.1951]"
A,TSC,Under gap (pp),−0.6119,"[−0.7673, −0.4727]","[−0.8947, −0.3416]"
B,Symmetric,ERRF,−0.0040,"[−0.0061, −0.0020]","[−0.0060, −0.0018]"
B,Symmetric,TUWR (pp),−3.9981,"[−4.5010, −3.4897]","[−5.2440, −2.8706]"
B,Symmetric,Under gap (pp),−0.5120,"[−0.5841, −0.4407]","[−0.6817, −0.3476]"
B,TSC,ERRF,+0.0080,"[+0.0038, +0.0120]","[−0.0001, +0.0155]"
B,TSC,TUWR (pp),−0.3563,"[−2.0275, +1.4678]","[−4.0178, +4.1419]"
B,TSC,Under gap (pp),+0.0772,"[−0.0629, +0.2316]","[−0.2302, +0.4322]"
Pooled,Symmetric,ERRF,−0.0031,"[−0.0047, −0.0016]","[−0.0052, −0.0012]"
Pooled,Symmetric,TUWR (pp),−3.8144,"[−4.1874, −3.4406]","[−4.6355, −3.0395]"
Pooled,Symmetric,Under gap (pp),−0.4576,"[−0.5073, −0.4082]","[−0.5661, −0.3504]"
Pooled,TSC,ERRF,+0.0056,"[+0.0031, +0.0081]","[+0.0009, +0.0101]"
Pooled,TSC,TUWR (pp),−2.2193,"[−3.2021, −1.1911]","[−4.2787, +0.2235]"
Pooled,TSC,Under gap (pp),−0.2673,"[−0.3739, −0.1615]","[−0.4810, −0.0453]"
