Actual,Source,1,2,20/3.56,10,20,All prices [95% interval]
GBR,MLP,+0.092,+0.071,+0.299,+0.268,+0.262,"+0.224 [+0.161, +0.275]"
GBR,QRLSTM,+0.043,+0.051,+0.208,+0.171,+0.143,"+0.137 [+0.093, +0.182]"
GBR,Ridge,+0.009,-0.006,+0.178,+0.240,+0.261,"+0.175 [+0.144, +0.207]"
MLP,GBR,+0.114,+0.091,+0.266,+0.305,+0.318,"+0.256 [+0.167, +0.347]"
MLP,QRLSTM,-0.019,+0.014,+0.058,+0.063,+0.055,"+0.044 [-0.027, +0.106]"
MLP,Ridge,+0.302,+0.203,+0.212,+0.186,+0.211,"+0.214 [+0.125, +0.292]"
QRLSTM,GBR,+0.127,+0.097,+0.263,+0.238,+0.229,"+0.209 [+0.169, +0.248]"
QRLSTM,MLP,+0.137,+0.096,+0.165,+0.139,+0.157,"+0.144 [+0.086, +0.202]"
QRLSTM,Ridge,+0.378,+0.254,+0.466,+0.439,+0.399,"+0.400 [+0.320, +0.474]"
Ridge,GBR,+0.160,+0.138,+0.242,+0.254,+0.223,"+0.215 [+0.178, +0.254]"
Ridge,MLP,+0.271,+0.214,+0.296,+0.202,+0.127,"+0.203 [+0.175, +0.230]"
Ridge,QRLSTM,+0.244,+0.221,+0.355,+0.249,+0.171,"+0.238 [+0.184, +0.282]"
