Farm,Update rule,ERRF,Capacity,Exceedance,TUWR (%)
Farm A,CLARA,0.6935,0.3994,0.2941,8.41
Farm A,Frozen estimates,0.6941,0.3999,0.2942,8.92
Farm A,Cost updates only,0.6921,0.3984,0.2937,9.51
Farm A,Coverage updates only,0.6960,0.4018,0.2942,7.63
Farm B,CLARA,0.6109,0.3685,0.2424,12.53
Farm B,Frozen estimates,0.6216,0.3741,0.2474,13.66
Farm B,Cost updates only,0.6152,0.3710,0.2441,14.32
Farm B,Coverage updates only,0.6201,0.3752,0.2449,11.41
Equal-farm mean,CLARA,0.6522,0.3840,0.2682,10.47
Equal-farm mean,Frozen estimates,0.6578,0.3870,0.2708,11.29
Equal-farm mean,Cost updates only,0.6536,0.3847,0.2689,11.92
Equal-farm mean,Coverage updates only,0.6581,0.3885,0.2696,9.52
