Farm,Method,OrdinaryERRF,OrdinaryTUWR (%),Predicted rampERRF,Predicted rampTUWR (%)
Farm A,CLARA,0.5272,7.72,0.9093,9.47
Farm A,TSC,0.5395,11.59,0.8880,15.00
Farm A,LinUCB,0.5306,15.32,0.9005,19.58
Farm A,CART,0.5460,17.73,0.9199,21.61
Farm A,EEE,0.5426,17.10,0.9521,20.44
Farm A,EnbPI-RH,0.5495,25.71,1.0509,34.01
Farm A,ACI,0.5760,2.54,0.9445,3.34
Farm A,Static,0.5447,29.75,1.0679,36.71
Farm A,AgACI,0.5930,6.72,0.9482,7.94
Farm B,CLARA,0.5415,11.37,0.6879,15.03
Farm B,TSC,0.5493,12.65,0.6862,16.01
Farm B,LinUCB,0.5436,24.38,0.6842,31.47
Farm B,CART,0.5664,18.90,0.6977,26.99
Farm B,EEE,0.5690,11.74,0.7284,16.60
Farm B,EnbPI-RH,0.5588,21.65,0.7550,28.04
Farm B,ACI,0.6438,3.72,0.7900,4.13
Farm B,Static,0.5822,37.49,0.8033,54.12
Farm B,AgACI,0.6638,10.90,0.8167,12.79
