Fixed parameter,ERRF change (%) [95% interval],TUWR change (pp) [95% interval]
Minimum count = 10,"+0.0006 [-0.0002, +0.0015]","-0.0019 [-0.0052, +0.0006]"
Minimum count = 20,"+0.0004 [-0.0003, +0.0012]","-0.0018 [-0.0052, +0.0006]"
Minimum count = 30,"+0.0003 [-0.0003, +0.0011]","-0.0017 [-0.0044, +0.0003]"
Minimum count = 50,"+0.0000 [-0.0001, +0.0001]","-0.0001 [-0.0008, +0.0010]"
Shrinkage = 0,"+0.0029 [+0.0022, +0.0035]","-0.0018 [-0.0039, +0.0002]"
Shrinkage = 10,"+0.0016 [+0.0006, +0.0026]","-0.0026 [-0.0051, -0.0002]"
Shrinkage = 30,"+0.0010 [-0.0002, +0.0023]","-0.0025 [-0.0042, -0.0004]"
Shrinkage = 60,"-0.0022 [-0.0046, -0.0000]","-0.0004 [-0.0046, +0.0036]"
Shrinkage = 100,"-0.0051 [-0.0090, -0.0022]","+0.0002 [-0.0072, +0.0066]"
