Farm,Comparator,ERRF change (%)[95% interval],TUWR change (pp)[95% interval]
Farm A,TSC,"+0.38 [-0.45, +1.09]","-4.59 [-6.42, -2.77]"
Farm A,LinUCB,"0.00 [-0.77, +0.61]","-8.80 [-11.21, -6.65]"
Farm A,CART,"-1.99 [-2.80, -1.04]","-10.99 [-13.16, -8.87]"
Farm A,EEE,"-3.85 [-4.94, -2.95]","-10.46 [-12.93, -8.14]"
Farm A,EnbPI-RH,"-9.41 [-11.87, -6.99]","-20.57 [-26.39, -14.39]"
Farm A,ACI,"-5.52 [-6.58, -4.63]","+5.48 [+3.68, +7.51]"
Farm A,Static,"-10.60 [-13.28, -8.25]","-24.52 [-30.99, -18.98]"
Farm A,AgACI,"-6.97 [-8.42, -5.65]","+1.12 [-1.06, +3.18]"
Farm A,Frozen estimates,"-0.08 [-0.38, +0.20]","-0.51 [-0.91, -0.06]"
Farm A,Cost updates only,"+0.21 [+0.07, +0.34]","-1.11 [-1.53, -0.62]"
Farm A,Coverage updates only,"-0.36 [-0.65, -0.10]","+0.78 [+0.62, +0.92]"
Farm B,TSC,"-0.43 [-1.02, +0.19]","-1.49 [-4.50, +2.37]"
Farm B,LinUCB,"-0.19 [-0.68, +0.41]","-14.30 [-17.57, -10.98]"
Farm B,CART,"-3.44 [-4.31, -2.63]","-8.48 [-12.51, -5.07]"
Farm B,EEE,"-5.10 [-6.67, -3.67]","-1.49 [-5.40, +2.22]"
Farm B,EnbPI-RH,"-5.99 [-6.98, -4.71]","-11.47 [-17.33, -6.00]"
Farm B,ACI,"-13.89 [-15.99, -12.04]","+8.58 [+4.62, +13.01]"
Farm B,Static,"-11.33 [-12.40, -10.21]","-29.80 [-43.28, -16.45]"
Farm B,AgACI,"-16.33 [-18.90, -14.03]","+0.87 [-1.70, +3.64]"
Farm B,Frozen estimates,"-1.72 [-3.01, -0.67]","-1.13 [-2.20, +0.14]"
Farm B,Cost updates only,"-0.70 [-1.41, -0.14]","-1.80 [-2.70, -0.71]"
Farm B,Coverage updates only,"-1.48 [-2.51, -0.68]","+1.12 [+0.63, +1.94]"
Equal-farm mean,TSC,"0.00 [-0.54, +0.50]","-3.04 [-4.86, -0.91]"
Equal-farm mean,LinUCB,"-0.09 [-0.55, +0.35]","-11.55 [-13.62, -9.52]"
Equal-farm mean,CART,"-2.67 [-3.23, -2.10]","-9.73 [-12.04, -7.66]"
Equal-farm mean,EEE,"-4.44 [-5.34, -3.59]","-5.98 [-8.26, -3.72]"
Equal-farm mean,EnbPI-RH,"-7.84 [-9.43, -6.34]","-16.02 [-20.10, -11.71]"
Equal-farm mean,ACI,"-9.63 [-10.78, -8.59]","+7.03 [+4.78, +9.47]"
Equal-farm mean,Static,"-10.95 [-12.46, -9.57]","-27.16 [-34.80, -19.73]"
Equal-farm mean,AgACI,"-11.60 [-13.11, -10.23]","+0.99 [-0.71, +2.70]"
Equal-farm mean,Frozen estimates,"-0.85 [-1.45, -0.34]","-0.82 [-1.39, -0.15]"
Equal-farm mean,Cost updates only,"-0.22 [-0.54, +0.05]","-1.45 [-1.96, -0.86]"
Equal-farm mean,Coverage updates only,"-0.89 [-1.37, -0.48]","+0.95 [+0.68, +1.37]"
