Method,Mean ERRF,Capacity,Exceedance,TUWR (%),ARD (pp),Width (p.u.)
CLARA,2.8452,1.5817,1.2635,10.89,8.41,0.4434
LinUCB,2.9187,1.5494,1.3693,12.34,7.66,0.4344
CART,2.9376,1.5460,1.3916,12.57,7.89,0.4334
TSC,2.9955,1.6196,1.3759,1.70,7.50,0.4541
EEE,2.9932,1.5678,1.4254,7.83,6.16,0.4395
Static,3.1690,1.3637,1.8053,29.58,6.31,0.3822
ACI,2.9868,1.6793,1.3075,1.32,8.89,0.4708
AgACI,2.9795,1.7799,1.1996,1.48,11.52,0.4991
EnbPI-RH,3.1076,1.4483,1.6593,16.25,5.37,0.4060
Width-only,3.2065,1.3085,1.8980,38.22,6.74,0.3667
Feasible state oracle,2.8240,1.5727,1.2514,10.78,8.28,0.4409
