ρ,Coverage band,CLARA ERRF,CLARA rank,Lowest-cost method,Lowest ERRF
1,0.10–0.30,0.8696,2.0,Static,0.8521
1,0.40–0.70,1.4096,3.0,Static,1.3336
1,0.80–0.95,2.2591,2.0,Static,2.2100
1,0.99,3.0512,2.0,Static,3.0506
2,0.10–0.30,1.3421,2.0,Static,1.3320
2,0.40–0.70,1.6324,4.0,Static,1.5739
2,0.80–0.95,2.3249,2.0,Static,2.2652
2,0.99,3.0636,3.0,Static,3.0552
20/3.56,0.10–0.30,2.7286,1.0,CLARA,2.7286
20/3.56,0.40–0.70,2.3450,1.0,CLARA,2.3450
20/3.56,0.80–0.95,2.5120,4.0,Static,2.4647
20/3.56,0.99,3.0909,3.0,Static,3.0719
10,0.10–0.30,4.2257,2.0,AgACI,4.2237
10,0.40–0.70,3.0616,1.0,CLARA,3.0616
10,0.80–0.95,2.6954,1.0,CLARA,2.6954
10,0.99,3.1133,3.0,Static,3.0920
20,0.10–0.30,7.6365,2.0,AgACI,7.6327
20,0.40–0.70,4.5657,2.0,AgACI,4.5626
20,0.80–0.95,3.0554,1.0,CLARA,3.0554
20,0.99,3.1588,3.0,Static,3.1380
