Method,Mean ERRF,TUWR (%),ARD (pp),Width (p.u.),CLARA cost change (%) [95% interval],Zone wins
CLARA,2.8452,10.89,8.41,0.4434,—,—
LinUCB,2.9187,12.34,7.66,0.4344,"-2.52 [-2.82, -2.21]",10/10
CART,2.9376,12.57,7.89,0.4334,"-3.15 [-3.29, -2.99]",10/10
TSC,2.9955,1.70,7.50,0.4541,"-5.02 [-5.13, -4.91]",10/10
EEE,2.9932,7.83,6.16,0.4395,"-4.94 [-5.07, -4.83]",10/10
Static,3.1690,29.58,6.31,0.3822,"-10.22 [-10.73, -9.72]",10/10
ACI,2.9868,1.32,8.89,0.4708,"-4.74 [-4.98, -4.51]",10/10
AgACI,2.9795,1.48,11.52,0.4991,"-4.51 [-5.05, -4.03]",10/10
EnbPI-RH,3.1076,16.25,5.37,0.4060,"-8.44 [-8.64, -8.29]",10/10
Width-only,3.2065,38.22,6.74,0.3667,"-11.27 [-11.65, -10.91]",10/10
Feasible state oracle,2.8240,10.78,8.28,0.4409,—,—
