Farm,Comparator,ERRF change (%)[95% interval],TUWR change (pp)[95% interval]
Farm A,TSC,"+0.38 [-0.45, +1.09]","-4.59 [-6.42, -2.77]"
Farm A,LinUCB,"0.00 [-0.77, +0.61]","-8.80 [-11.21, -6.65]"
Farm A,CART,"-1.99 [-2.80, -1.04]","-10.99 [-13.16, -8.87]"
Farm A,EEE,"-3.85 [-4.94, -2.95]","-10.46 [-12.93, -8.14]"
Farm A,EnbPI-RH,"-9.41 [-11.87, -6.99]","-20.57 [-26.39, -14.39]"
Farm A,ACI,"-5.52 [-6.58, -4.63]","+5.48 [+3.68, +7.51]"
Farm A,Static,"-10.60 [-13.28, -8.25]","-24.52 [-30.99, -18.98]"
Farm A,AgACI,"-6.97 [-8.42, -5.65]","+1.12 [-1.06, +3.18]"
Farm B,TSC,"-0.43 [-1.02, +0.19]","-1.49 [-4.50, +2.37]"
Farm B,LinUCB,"-0.19 [-0.68, +0.41]","-14.30 [-17.57, -10.98]"
Farm B,CART,"-3.44 [-4.31, -2.63]","-8.48 [-12.51, -5.07]"
Farm B,EEE,"-5.10 [-6.67, -3.67]","-1.49 [-5.40, +2.22]"
Farm B,EnbPI-RH,"-5.99 [-6.98, -4.71]","-11.47 [-17.33, -6.00]"
Farm B,ACI,"-13.89 [-15.99, -12.04]","+8.58 [+4.62, +13.01]"
Farm B,Static,"-11.33 [-12.40, -10.21]","-29.80 [-43.28, -16.45]"
Farm B,AgACI,"-16.33 [-18.90, -14.03]","+0.87 [-1.70, +3.64]"
